DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1999-11-02,2000,Orlando Magic,86,Charlotte Hornets,100,0,N
1999-11-02,2000,Golden State Warriors,96,Dallas Mavericks,108,0,N
1999-11-02,2000,Phoenix Suns,102,Denver Nuggets,107,1,N
1999-11-02,2000,Milwaukee Bucks,98,Houston Rockets,93,0,N
1999-11-02,2000,Seattle SuperSonics,104,Los Angeles Clippers,92,0,N
1999-11-02,2000,Detroit Pistons,122,Miami Heat,128,2,N
1999-11-02,2000,Indiana Pacers,119,New Jersey Nets,112,0,N
1999-11-02,2000,Cleveland Cavaliers,84,New York Knicks,92,0,N
1999-11-02,2000,Philadelphia 76ers,76,San Antonio Spurs,89,0,N
1999-11-02,2000,Boston Celtics,103,Toronto Raptors,90,0,N
1999-11-02,2000,Los Angeles Lakers,91,Utah Jazz,84,0,N
1999-11-02,2000,Portland Trail Blazers,106,Vancouver Grizzlies,86,0,N
1999-11-02,2000,Atlanta Hawks,87,Washington Wizards,94,0,N
1999-11-03,2000,Washington Wizards,101,Boston Celtics,112,0,N
1999-11-03,2000,New York Knicks,84,Chicago Bulls,74,0,N
1999-11-03,2000,New Jersey Nets,90,Cleveland Cavaliers,97,0,N
1999-11-03,2000,Vancouver Grizzlies,88,Los Angeles Lakers,103,0,N
1999-11-03,2000,Detroit Pistons,94,Orlando Magic,103,0,N
1999-11-03,2000,Los Angeles Clippers,98,Portland Trail Blazers,121,0,N
1999-11-04,2000,Milwaukee Bucks,119,Atlanta Hawks,109,0,N
1999-11-04,2000,Indiana Pacers,89,Charlotte Hornets,98,0,N
1999-11-04,2000,Philadelphia 76ers,80,Phoenix Suns,84,0,N
1999-11-04,2000,Golden State Warriors,81,San Antonio Spurs,104,0,N
1999-11-04,2000,Dallas Mavericks,96,Seattle SuperSonics,106,0,N
1999-11-04,2000,Miami Heat,86,Toronto Raptors,97,0,N
1999-11-04,2000,Houston Rockets,82,Utah Jazz,98,0,N
1999-11-05,2000,Charlotte Hornets,100,Boston Celtics,103,0,N
1999-11-05,2000,Miami Heat,105,Chicago Bulls,87,0,N
1999-11-05,2000,New York Knicks,103,Detroit Pistons,91,0,N
1999-11-05,2000,San Antonio Spurs,95,Houston Rockets,85,0,N
1999-11-05,2000,Philadelphia 76ers,81,Los Angeles Clippers,91,0,N
1999-11-05,2000,Toronto Raptors,112,New Jersey Nets,92,0,N
1999-11-05,2000,Cleveland Cavaliers,104,Orlando Magic,99,0,N
1999-11-05,2000,Denver Nuggets,83,Portland Trail Blazers,95,0,N
1999-11-05,2000,Minnesota Timberwolves,95,Sacramento Kings,100,0,N
1999-11-06,2000,Chicago Bulls,97,Atlanta Hawks,113,0,N
1999-11-06,2000,New York Knicks,93,Cleveland Cavaliers,102,0,N
1999-11-06,2000,Dallas Mavericks,120,Golden State Warriors,97,0,N
1999-11-06,2000,Boston Celtics,108,Indiana Pacers,115,0,N
1999-11-06,2000,Detroit Pistons,111,Milwaukee Bucks,121,0,N
1999-11-06,2000,Sacramento Kings,101,Minnesota Timberwolves,114,0,N
1999-11-06,2000,Los Angeles Lakers,82,Portland Trail Blazers,97,0,N
1999-11-06,2000,Utah Jazz,94,Seattle SuperSonics,99,0,N
1999-11-06,2000,Denver Nuggets,94,Vancouver Grizzlies,109,0,N
1999-11-06,2000,Orlando Magic,107,Washington Wizards,104,0,N
1999-11-07,2000,Dallas Mavericks,97,Los Angeles Lakers,105,0,N
1999-11-07,2000,Washington Wizards,87,New Jersey Nets,112,0,N
1999-11-07,2000,San Antonio Spurs,74,Phoenix Suns,77,0,N
1999-11-07,2000,Charlotte Hornets,99,Toronto Raptors,109,0,N
1999-11-08,2000,Atlanta Hawks,100,Denver Nuggets,115,0,N
1999-11-08,2000,Orlando Magic,102,Houston Rockets,97,0,N
1999-11-08,2000,Utah Jazz,94,Los Angeles Clippers,79,0,N
1999-11-08,2000,Milwaukee Bucks,101,New York Knicks,111,1,N
1999-11-08,2000,Seattle SuperSonics,98,Philadelphia 76ers,117,0,N
1999-11-09,2000,Phoenix Suns,103,Chicago Bulls,80,0,N
1999-11-09,2000,Los Angeles Lakers,123,Dallas Mavericks,101,0,N
1999-11-09,2000,San Antonio Spurs,118,Golden State Warriors,89,0,N
1999-11-09,2000,Indiana Pacers,101,Miami Heat,113,0,N
1999-11-09,2000,Portland Trail Blazers,87,Utah Jazz,92,0,N
1999-11-10,2000,Detroit Pistons,110,Boston Celtics,92,0,N
1999-11-10,2000,Milwaukee Bucks,111,Charlotte Hornets,117,0,N
1999-11-10,2000,Los Angeles Lakers,89,Houston Rockets,88,0,N
1999-11-10,2000,San Antonio Spurs,99,Los Angeles Clippers,94,0,N
1999-11-10,2000,Phoenix Suns,104,New Jersey Nets,89,0,N
1999-11-10,2000,Philadelphia 76ers,105,Orlando Magic,110,0,N
1999-11-10,2000,Atlanta Hawks,97,Vancouver Grizzlies,102,1,N
1999-11-10,2000,Seattle SuperSonics,109,Washington Wizards,95,0,N
1999-11-11,2000,Seattle SuperSonics,109,Cleveland Cavaliers,103,0,N
1999-11-11,2000,Toronto Raptors,123,Detroit Pistons,106,0,N
1999-11-11,2000,Orlando Magic,101,Indiana Pacers,116,0,N
1999-11-11,2000,Dallas Mavericks,105,Miami Heat,128,0,N
1999-11-11,2000,New York Knicks,90,Minnesota Timberwolves,93,0,N
1999-11-12,2000,New York Knicks,74,Boston Celtics,80,0,N
1999-11-12,2000,New Jersey Nets,92,Charlotte Hornets,96,0,N
1999-11-12,2000,Portland Trail Blazers,93,Denver Nuggets,78,0,N
1999-11-12,2000,Houston Rockets,97,Los Angeles Lakers,81,0,N
1999-11-12,2000,Phoenix Suns,92,Milwaukee Bucks,107,0,N
1999-11-12,2000,Chicago Bulls,86,Philadelphia 76ers,92,0,N
1999-11-12,2000,Utah Jazz,92,Sacramento Kings,105,0,N
1999-11-12,2000,Golden State Warriors,103,Vancouver Grizzlies,93,0,N
1999-11-12,2000,Miami Heat,104,Washington Wizards,95,0,N
1999-11-13,2000,Boston Celtics,91,Chicago Bulls,92,0,N
1999-11-13,2000,Milwaukee Bucks,112,Cleveland Cavaliers,117,0,N
1999-11-13,2000,Orlando Magic,117,Dallas Mavericks,125,0,N
1999-11-13,2000,Seattle SuperSonics,99,Detroit Pistons,107,0,N
1999-11-13,2000,Houston Rockets,103,Golden State Warriors,95,0,N
1999-11-13,2000,Washington Wizards,83,Indiana Pacers,105,0,N
1999-11-13,2000,Phoenix Suns,100,Minnesota Timberwolves,111,0,N
1999-11-13,2000,Atlanta Hawks,95,Portland Trail Blazers,131,0,N
1999-11-13,2000,Charlotte Hornets,79,San Antonio Spurs,95,0,N
1999-11-14,2000,Atlanta Hawks,88,Los Angeles Lakers,93,0,N
1999-11-14,2000,Miami Heat,94,New York Knicks,88,0,N
1999-11-14,2000,Denver Nuggets,116,Sacramento Kings,126,0,N
1999-11-14,2000,Philadelphia 76ers,93,Toronto Raptors,90,0,N
1999-11-14,2000,Los Angeles Clippers,89,Vancouver Grizzlies,109,0,N
1999-11-15,2000,Indiana Pacers,96,Houston Rockets,87,0,N
1999-11-15,2000,Seattle SuperSonics,100,New Jersey Nets,92,0,N
1999-11-15,2000,Los Angeles Lakers,91,Phoenix Suns,82,0,N
1999-11-15,2000,San Antonio Spurs,85,Utah Jazz,91,0,N
1999-11-16,2000,Charlotte Hornets,98,Atlanta Hawks,103,0,N
1999-11-16,2000,Houston Rockets,95,Dallas Mavericks,114,0,N
1999-11-16,2000,New York Knicks,102,Denver Nuggets,95,0,N
1999-11-16,2000,Chicago Bulls,79,Golden State Warriors,99,0,N
1999-11-16,2000,Portland Trail Blazers,101,Miami Heat,96,0,N
1999-11-16,2000,Los Angeles Clippers,93,Milwaukee Bucks,101,0,N
1999-11-16,2000,Vancouver Grizzlies,77,Sacramento Kings,81,0,N
1999-11-16,2000,Indiana Pacers,87,San Antonio Spurs,90,1,N
1999-11-16,2000,Detroit Pistons,85,Toronto Raptors,89,0,N
1999-11-16,2000,Philadelphia 76ers,95,Washington Wizards,73,0,N
1999-11-17,2000,Cleveland Cavaliers,103,Boston Celtics,114,0,N
1999-11-17,2000,Dallas Mavericks,99,Charlotte Hornets,104,0,N
1999-11-17,2000,New Jersey Nets,107,Detroit Pistons,109,0,N
1999-11-17,2000,Los Angeles Clippers,89,Minnesota Timberwolves,85,0,N
1999-11-17,2000,Portland Trail Blazers,81,Orlando Magic,79,0,N
1999-11-17,2000,Miami Heat,98,Philadelphia 76ers,93,0,N
1999-11-17,2000,Chicago Bulls,81,Phoenix Suns,105,0,N
1999-11-17,2000,Golden State Warriors,108,Seattle SuperSonics,111,0,N
1999-11-17,2000,New York Knicks,90,Utah Jazz,98,0,N
1999-11-18,2000,Los Angeles Lakers,82,Denver Nuggets,93,0,N
1999-11-18,2000,Sacramento Kings,128,Houston Rockets,110,0,N
1999-11-18,2000,San Antonio Spurs,88,Milwaukee Bucks,99,0,N
1999-11-18,2000,Seattle SuperSonics,110,Vancouver Grizzlies,108,0,N
1999-11-18,2000,Toronto Raptors,81,Washington Wizards,92,0,N
1999-11-19,2000,New Jersey Nets,96,Boston Celtics,109,0,N
1999-11-19,2000,Sacramento Kings,103,Dallas Mavericks,94,0,N
1999-11-19,2000,Cleveland Cavaliers,90,Detroit Pistons,101,0,N
1999-11-19,2000,Atlanta Hawks,105,Indiana Pacers,99,0,N
1999-11-19,2000,Chicago Bulls,95,Los Angeles Lakers,103,0,N
1999-11-19,2000,Utah Jazz,84,Minnesota Timberwolves,89,0,N
1999-11-19,2000,Charlotte Hornets,103,Orlando Magic,92,0,N
1999-11-19,2000,Portland Trail Blazers,97,Philadelphia 76ers,91,0,N
1999-11-19,2000,New York Knicks,81,Phoenix Suns,96,0,N
1999-11-19,2000,Los Angeles Clippers,100,Toronto Raptors,106,0,N
1999-11-20,2000,Orlando Magic,107,Atlanta Hawks,103,0,N
1999-11-20,2000,Portland Trail Blazers,100,Charlotte Hornets,96,1,N
1999-11-20,2000,Indiana Pacers,107,Cleveland Cavaliers,98,0,N
1999-11-20,2000,Chicago Bulls,86,Denver Nuggets,95,0,N
1999-11-20,2000,New York Knicks,86,Golden State Warriors,79,0,N
1999-11-20,2000,Boston Celtics,92,Miami Heat,110,0,N
1999-11-20,2000,Utah Jazz,111,Milwaukee Bucks,100,0,N
1999-11-20,2000,Philadelphia 76ers,100,New Jersey Nets,96,0,N
1999-11-20,2000,Dallas Mavericks,90,San Antonio Spurs,106,0,N
1999-11-20,2000,Houston Rockets,107,Seattle SuperSonics,110,0,N
1999-11-20,2000,Los Angeles Clippers,98,Washington Wizards,89,0,N
1999-11-21,2000,Milwaukee Bucks,94,Detroit Pistons,113,0,N
1999-11-21,2000,Toronto Raptors,111,Los Angeles Lakers,102,0,N
1999-11-21,2000,Seattle SuperSonics,86,Phoenix Suns,99,0,N
1999-11-21,2000,Houston Rockets,105,Sacramento Kings,110,0,N
1999-11-21,2000,Minnesota Timberwolves,105,Vancouver Grizzlies,81,0,N
1999-11-22,2000,Indiana Pacers,85,Boston Celtics,95,0,N
1999-11-22,2000,San Antonio Spurs,94,Philadelphia 76ers,91,0,N
1999-11-22,2000,Minnesota Timberwolves,93,Utah Jazz,108,0,N
1999-11-23,2000,Miami Heat,106,Atlanta Hawks,113,0,N
1999-11-23,2000,Portland Trail Blazers,100,Cleveland Cavaliers,103,0,N
1999-11-23,2000,Dallas Mavericks,99,Houston Rockets,119,0,N
1999-11-23,2000,New York Knicks,95,Los Angeles Clippers,100,0,N
1999-11-23,2000,Toronto Raptors,93,Phoenix Suns,94,0,N
1999-11-23,2000,New Jersey Nets,92,Sacramento Kings,105,0,N
1999-11-23,2000,Vancouver Grizzlies,87,Washington Wizards,89,0,N
1999-11-24,2000,San Antonio Spurs,121,Boston Celtics,98,0,N
1999-11-24,2000,Vancouver Grizzlies,73,Charlotte Hornets,89,0,N
1999-11-24,2000,Toronto Raptors,84,Denver Nuggets,109,0,N
1999-11-24,2000,New Jersey Nets,92,Golden State Warriors,84,0,N
1999-11-24,2000,Utah Jazz,82,Los Angeles Lakers,90,0,N
1999-11-24,2000,Atlanta Hawks,91,Miami Heat,93,0,N
1999-11-24,2000,Chicago Bulls,95,Milwaukee Bucks,102,0,N
1999-11-24,2000,Portland Trail Blazers,88,Minnesota Timberwolves,81,0,N
1999-11-24,2000,Dallas Mavericks,100,Orlando Magic,112,0,N
1999-11-24,2000,Washington Wizards,101,Philadelphia 76ers,93,0,N
1999-11-25,2000,Detroit Pistons,107,Indiana Pacers,99,0,N
1999-11-26,2000,Milwaukee Bucks,114,Boston Celtics,112,0,N
1999-11-26,2000,Washington Wizards,85,Charlotte Hornets,118,0,N
1999-11-26,2000,Minnesota Timberwolves,105,Denver Nuggets,114,0,N
1999-11-26,2000,Atlanta Hawks,91,Detroit Pistons,93,0,N
1999-11-26,2000,Vancouver Grizzlies,86,Indiana Pacers,105,0,N
1999-11-26,2000,New Jersey Nets,80,Los Angeles Lakers,103,0,N
1999-11-26,2000,Cleveland Cavaliers,83,Philadelphia 76ers,106,0,N
1999-11-26,2000,Houston Rockets,88,Portland Trail Blazers,91,1,N
1999-11-26,2000,Golden State Warriors,95,Sacramento Kings,124,0,N
1999-11-26,2000,Chicago Bulls,78,San Antonio Spurs,101,0,N
1999-11-26,2000,Los Angeles Clippers,93,Seattle SuperSonics,98,0,N
1999-11-26,2000,Toronto Raptors,100,Utah Jazz,87,0,N
1999-11-27,2000,Boston Celtics,84,Atlanta Hawks,94,0,N
1999-11-27,2000,Charlotte Hornets,89,Cleveland Cavaliers,106,0,N
1999-11-27,2000,Chicago Bulls,83,Dallas Mavericks,95,0,N
