DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
2000-10-31,2001,Charlotte Hornets,106,Atlanta Hawks,82,0,N
2000-10-31,2001,Cleveland Cavaliers,86,New Jersey Nets,82,0,N
2000-10-31,2001,Washington Wizards,86,Orlando Magic,97,0,N
2000-10-31,2001,Milwaukee Bucks,93,Dallas Mavericks,97,0,N
2000-10-31,2001,Philadelphia 76ers,101,New York Knicks,72,0,N
2000-10-31,2001,Detroit Pistons,104,Toronto Raptors,95,0,N
2000-10-31,2001,Sacramento Kings,100,Chicago Bulls,81,0,N
2000-10-31,2001,Minnesota Timberwolves,106,Houston Rockets,98,0,N
2000-10-31,2001,Indiana Pacers,85,San Antonio Spurs,98,0,N
2000-10-31,2001,Los Angeles Clippers,94,Utah Jazz,107,0,N
2000-10-31,2001,Phoenix Suns,94,Golden State Warriors,96,0,N
2000-10-31,2001,Los Angeles Lakers,96,Portland Trail Blazers,86,0,N
2000-10-31,2001,Seattle SuperSonics,88,Vancouver Grizzlies,94,0,N
2000-11-01,2001,Detroit Pistons,83,Boston Celtics,103,0,N
2000-11-01,2001,Toronto Raptors,98,Philadelphia 76ers,104,0,N
2000-11-01,2001,Washington Wizards,95,Charlotte Hornets,77,0,N
2000-11-01,2001,Sacramento Kings,100,Cleveland Cavaliers,102,2,N
2000-11-01,2001,Orlando Magic,79,Miami Heat,105,0,N
2000-11-01,2001,Denver Nuggets,99,Seattle SuperSonics,112,0,N
2000-11-01,2001,Utah Jazz,97,Los Angeles Lakers,92,0,N
2000-11-02,2001,Atlanta Hawks,69,New York Knicks,94,0,N
2000-11-02,2001,Indiana Pacers,88,Dallas Mavericks,94,0,N
2000-11-02,2001,Minnesota Timberwolves,91,San Antonio Spurs,103,0,N
2000-11-02,2001,Milwaukee Bucks,93,Houston Rockets,115,0,N
2000-11-02,2001,Golden State Warriors,97,Denver Nuggets,101,0,N
2000-11-02,2001,Portland Trail Blazers,82,Phoenix Suns,108,0,N
2000-11-02,2001,Vancouver Grizzlies,99,Los Angeles Clippers,91,0,N
2000-11-03,2001,New York Knicks,80,Washington Wizards,76,0,N
