DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1954-10-30,1955,Fort Wayne Pistons,91,Milwaukee Hawks,72,0,N
1954-10-30,1955,Minneapolis Lakers,83,New York Knicks,94,0,N
1954-10-30,1955,Boston Celtics,95,Rochester Royals,98,0,N
1954-10-31,1955,Boston Celtics,86,Fort Wayne Pistons,90,0,N
1954-10-31,1955,Minneapolis Lakers,97,Syracuse Nationals,94,0,N
1954-11-02,1955,New York Knicks,91,Milwaukee Hawks,84,0,N
1954-11-06,1955,Syracuse Nationals,84,Boston Celtics,107,0,N
1954-11-06,1955,New York Knicks,83,Fort Wayne Pistons,90,0,N
1954-11-06,1955,Minneapolis Lakers,79,Milwaukee Hawks,67,0,N
1954-11-07,1955,Rochester Royals,84,Fort Wayne Pistons,109,0,N
1954-11-07,1955,New York Knicks,103,Minneapolis Lakers,93,1,N
1954-11-07,1955,Milwaukee Hawks,80,Syracuse Nationals,97,0,N
1954-11-10,1955,Milwaukee Hawks,86,Rochester Royals,90,0,N
1954-11-11,1955,Milwaukee Hawks,95,Boston Celtics,85,0,N
1954-11-11,1955,Syracuse Nationals,88,Fort Wayne Pistons,86,0,N
1954-11-11,1955,Rochester Royals,78,New York Knicks,79,0,N
1954-11-13,1955,Syracuse Nationals,72,Milwaukee Hawks,85,0,N
1954-11-13,1955,Fort Wayne Pistons,103,Rochester Royals,98,0,N
1954-11-13,1955,New York Knicks,86,Philadelphia Warriors,87,0,N
1954-11-14,1955,Milwaukee Hawks,91,Fort Wayne Pistons,93,0,N
1954-11-14,1955,Syracuse Nationals,92,Minneapolis Lakers,99,0,N
1954-11-16,1955,Rochester Royals,98,Boston Celtics,99,0,N
1954-11-16,1955,Syracuse Nationals,86,Philadelphia Warriors,85,0,N
1954-11-18,1955,Philadelphia Warriors,94,New York Knicks,96,0,N
1954-11-18,1955,Fort Wayne Pistons,82,Syracuse Nationals,91,0,N
1954-11-20,1955,Boston Celtics,117,New York Knicks,98,0,N
1954-11-20,1955,Syracuse Nationals,80,Rochester Royals,79,0,N
1954-11-20,1955,Fort Wayne Pistons,82,Philadelphia Warriors,99,0,N
1954-11-21,1955,Rochester Royals,78,Fort Wayne Pistons,89,0,N
1954-11-21,1955,Boston Celtics,104,Syracuse Nationals,110,0,N
1954-11-24,1955,New York Knicks,103,Boston Celtics,108,0,N
1954-11-24,1955,Philadelphia Warriors,91,Fort Wayne Pistons,87,0,N
1954-11-24,1955,Rochester Royals,90,Milwaukee Hawks,87,1,N
1954-11-25,1955,Rochester Royals,84,Minneapolis Lakers,95,0,N
1954-11-25,1955,Boston Celtics,98,Philadelphia Warriors,103,0,N
1954-11-25,1955,Milwaukee Hawks,85,Syracuse Nationals,91,0,N
1954-11-27,1955,Minneapolis Lakers,81,Fort Wayne Pistons,97,0,N
1954-11-27,1955,Boston Celtics,101,Rochester Royals,107,0,N
1954-11-27,1955,Syracuse Nationals,80,New York Knicks,74,0,N
1954-11-28,1955,Milwaukee Hawks,81,Fort Wayne Pistons,96,0,N
1954-11-28,1955,Boston Celtics,108,Minneapolis Lakers,115,0,N
1954-11-28,1955,New York Knicks,77,Syracuse Nationals,79,0,N
1954-11-30,1955,Minneapolis Lakers,90,Fort Wayne Pistons,92,0,N
1954-11-30,1955,Boston Celtics,118,Milwaukee Hawks,99,0,N
1954-11-30,1955,Philadelphia Warriors,91,New York Knicks,95,1,N
1954-12-01,1955,Syracuse Nationals,86,New York Knicks,88,0,N
1954-12-01,1955,Minneapolis Lakers,91,Philadelphia Warriors,88,0,N
1954-12-01,1955,Fort Wayne Pistons,101,Rochester Royals,96,1,N
1954-12-01,1955,Milwaukee Hawks,90,Boston Celtics,101,0,N
1954-12-02,1955,Boston Celtics,98,Fort Wayne Pistons,116,0,N
1954-12-02,1955,Minneapolis Lakers,108,Milwaukee Hawks,117,0,N
1954-12-02,1955,Rochester Royals,78,Syracuse Nationals,82,0,N
