DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1980-10-10,1981,Cleveland Cavaliers,103,Boston Celtics,130,0,N
1980-10-10,1981,San Antonio Spurs,113,Denver Nuggets,112,0,N
1980-10-10,1981,Washington Bullets,95,Detroit Pistons,85,0,N
1980-10-10,1981,Indiana Pacers,110,New Jersey Nets,91,0,N
1980-10-10,1981,Milwaukee Bucks,106,Philadelphia 76ers,103,0,N
1980-10-10,1981,Golden State Warriors,101,Phoenix Suns,121,0,N
1980-10-10,1981,Houston Rockets,104,San Diego Clippers,120,0,N
1980-10-10,1981,Los Angeles Lakers,99,Seattle SuperSonics,98,0,N
1980-10-10,1981,Portland Trail Blazers,86,Utah Jazz,96,0,N
1980-10-11,1981,Chicago Bulls,93,Atlanta Hawks,101,0,N
1980-10-11,1981,New Jersey Nets,99,Cleveland Cavaliers,96,0,N
1980-10-11,1981,San Antonio Spurs,92,Dallas Mavericks,103,0,N
1980-10-11,1981,San Diego Clippers,91,Golden State Warriors,104,0,N
1980-10-11,1981,Detroit Pistons,87,Indiana Pacers,100,0,N
1980-10-11,1981,Utah Jazz,91,Kansas City Kings,98,0,N
1980-10-11,1981,Milwaukee Bucks,109,New York Knicks,114,0,N
1980-10-11,1981,Philadelphia 76ers,126,Washington Bullets,120,2,N
1980-10-12,1981,Utah Jazz,125,Denver Nuggets,121,1,N
1980-10-12,1981,Houston Rockets,103,Los Angeles Lakers,114,0,N
1980-10-12,1981,Kansas City Kings,100,Phoenix Suns,109,0,N
1980-10-12,1981,Seattle SuperSonics,96,Portland Trail Blazers,107,0,N
1980-10-13,1981,Detroit Pistons,92,New Jersey Nets,108,0,N
1980-10-14,1981,Boston Celtics,116,Atlanta Hawks,122,0,N
1980-10-14,1981,Detroit Pistons,91,Cleveland Cavaliers,99,0,N
1980-10-14,1981,Seattle SuperSonics,85,Dallas Mavericks,83,0,N
1980-10-14,1981,Philadelphia 76ers,93,New York Knicks,113,0,N
1980-10-14,1981,Kansas City Kings,103,San Antonio Spurs,109,0,N
1980-10-15,1981,Dallas Mavericks,98,Denver Nuggets,133,0,N
1980-10-15,1981,Portland Trail Blazers,92,Golden State Warriors,95,0,N
1980-10-15,1981,Seattle SuperSonics,100,Houston Rockets,103,0,N
1980-10-15,1981,Chicago Bulls,108,Indiana Pacers,97,0,N
1980-10-15,1981,Los Angeles Lakers,112,Kansas City Kings,107,1,N
1980-10-15,1981,Philadelphia 76ers,119,New Jersey Nets,111,0,N
