DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1964-10-16,1965,Detroit Pistons,113,Philadelphia 76ers,125,0,N
1964-10-17,1965,San Francisco Warriors,101,Baltimore Bullets,121,0,N
1964-10-17,1965,Detroit Pistons,81,Boston Celtics,112,0,N
1964-10-17,1965,Los Angeles Lakers,113,New York Knicks,109,0,N
1964-10-17,1965,Cincinnati Royals,91,St. Louis Hawks,94,0,N
1964-10-18,1965,San Francisco Warriors,108,Cincinnati Royals,117,0,N
1964-10-20,1965,Los Angeles Lakers,113,Cincinnati Royals,121,0,N
1964-10-21,1965,San Francisco Warriors,104,Detroit Pistons,108,0,N
1964-10-21,1965,Los Angeles Lakers,108,Baltimore Bullets,105,0,N
1964-10-22,1965,Detroit Pistons,102,Boston Celtics,104,0,N
1964-10-22,1965,Baltimore Bullets,138,Philadelphia 76ers,135,1,N
1964-10-23,1965,Los Angeles Lakers,94,San Francisco Warriors,92,0,N
1964-10-24,1965,Baltimore Bullets,103,Boston Celtics,131,0,N
1964-10-24,1965,Detroit Pistons,118,New York Knicks,108,1,N
1964-10-24,1965,Philadelphia 76ers,86,St. Louis Hawks,126,0,N
1964-10-25,1965,Boston Celtics,112,Baltimore Bullets,100,0,N
1964-10-25,1965,New York Knicks,108,Detroit Pistons,95,0,N
1964-10-25,1965,Philadelphia 76ers,107,Cincinnati Royals,109,0,N
1964-10-27,1965,Boston Celtics,131,New York Knicks,103,0,N
1964-10-27,1965,St. Louis Hawks,81,Philadelphia 76ers,100,0,N
1964-10-27,1965,Baltimore Bullets,90,San Francisco Warriors,101,0,N
1964-10-28,1965,Baltimore Bullets,102,Los Angeles Lakers,112,0,N
1964-10-28,1965,Boston Celtics,119,St. Louis Hawks,117,0,N
1964-10-29,1965,Baltimore Bullets,98,Los Angeles Lakers,95,0,N
1964-10-30,1965,St. Louis Hawks,118,Cincinnati Royals,119,0,N
1964-10-30,1965,Boston Celtics,106,Detroit Pistons,90,0,N
1964-10-30,1965,Philadelphia 76ers,90,New York Knicks,94,0,N
1964-10-31,1965,Cincinnati Royals,94,Boston Celtics,122,0,N
1964-10-31,1965,New York Knicks,105,Philadelphia 76ers,116,0,N
1964-10-31,1965,Baltimore Bullets,102,San Francisco Warriors,98,0,N
1964-10-31,1965,Detroit Pistons,99,St. Louis Hawks,107,0,N
1964-11-01,1965,St. Louis Hawks,116,Los Angeles Lakers,115,0,N
