DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
2009-10-27,2010,Boston Celtics,95,Cleveland Cavaliers,89,0,N
2009-10-27,2010,Washington Wizards,102,Dallas Mavericks,91,0,N
2009-10-27,2010,Houston Rockets,87,Portland Trail Blazers,96,0,N
2009-10-27,2010,Los Angeles Clippers,92,Los Angeles Lakers,99,0,N
2009-10-28,2010,Indiana Pacers,109,Atlanta Hawks,120,0,N
2009-10-28,2010,Cleveland Cavaliers,91,Toronto Raptors,101,0,N
2009-10-28,2010,Philadelphia 76ers,106,Orlando Magic,120,0,N
2009-10-28,2010,Charlotte Bobcats,59,Boston Celtics,92,0,N
2009-10-28,2010,New York Knicks,93,Miami Heat,115,0,N
2009-10-28,2010,Sacramento Kings,89,Oklahoma City Thunder,102,0,N
2009-10-28,2010,New Orleans Hornets,96,San Antonio Spurs,113,0,N
2009-10-28,2010,New Jersey Nets,93,Minnesota Timberwolves,95,0,N
2009-10-28,2010,Detroit Pistons,96,Memphis Grizzlies,74,0,N
2009-10-28,2010,Phoenix Suns,109,Los Angeles Clippers,107,0,N
2009-10-28,2010,Houston Rockets,108,Golden State Warriors,107,0,N
2009-10-28,2010,Utah Jazz,105,Denver Nuggets,114,0,N
2009-10-29,2010,San Antonio Spurs,85,Chicago Bulls,92,0,N
2009-10-29,2010,Denver Nuggets,97,Portland Trail Blazers,94,0,N
2009-10-30,2010,New York Knicks,100,Charlotte Bobcats,102,2,N
2009-10-30,2010,Milwaukee Bucks,86,Philadelphia 76ers,99,0,N
2009-10-30,2010,Washington Wizards,89,Atlanta Hawks,100,0,N
2009-10-30,2010,Chicago Bulls,90,Boston Celtics,118,0,N
2009-10-30,2010,Sacramento Kings,92,New Orleans Hornets,97,0,N
2009-10-30,2010,Orlando Magic,95,New Jersey Nets,85,0,N
2009-10-30,2010,Cleveland Cavaliers,104,Minnesota Timberwolves,87,0,N
2009-10-30,2010,Toronto Raptors,107,Memphis Grizzlies,115,0,N
2009-10-30,2010,Miami Heat,96,Indiana Pacers,83,0,N
2009-10-30,2010,Oklahoma City Thunder,91,Detroit Pistons,83,0,N
2009-10-30,2010,Los Angeles Clippers,98,Utah Jazz,111,0,N
2009-10-30,2010,Golden State Warriors,101,Phoenix Suns,123,0,N
2009-10-30,2010,Dallas Mavericks,94,Los Angeles Lakers,80,0,N
2009-10-31,2010,New Jersey Nets,104,Washington Wizards,123,0,N
2009-10-31,2010,Charlotte Bobcats,79,Cleveland Cavaliers,90,0,N
2009-10-31,2010,Philadelphia 76ers,141,New York Knicks,127,1,N
2009-10-31,2010,Portland Trail Blazers,107,Houston Rockets,111,0,N
2009-10-31,2010,Detroit Pistons,85,Milwaukee Bucks,96,0,N
2009-10-31,2010,Sacramento Kings,94,San Antonio Spurs,113,0,N
2009-10-31,2010,Dallas Mavericks,93,Los Angeles Clippers,84,0,N
2009-11-01,2010,Orlando Magic,125,Toronto Raptors,116,0,N
2009-11-01,2010,New Orleans Hornets,87,Boston Celtics,97,0,N
2009-11-01,2010,Chicago Bulls,87,Miami Heat,95,0,N
2009-11-01,2010,Portland Trail Blazers,83,Oklahoma City Thunder,74,0,N
2009-11-01,2010,Memphis Grizzlies,123,Denver Nuggets,133,0,N
2009-11-01,2010,Minnesota Timberwolves,112,Phoenix Suns,120,0,N
2009-11-01,2010,Atlanta Hawks,110,Los Angeles Lakers,118,0,N
2009-11-02,2010,New Jersey Nets,68,Charlotte Bobcats,79,0,N
2009-11-02,2010,New Orleans Hornets,111,New York Knicks,117,0,N
2009-11-02,2010,Houston Rockets,113,Utah Jazz,96,0,N
2009-11-02,2010,Memphis Grizzlies,116,Sacramento Kings,127,1,N
2009-11-02,2010,Minnesota Timberwolves,90,Los Angeles Clippers,93,0,N
2009-11-03,2010,Washington Wizards,90,Cleveland Cavaliers,102,0,N
2009-11-03,2010,Denver Nuggets,111,Indiana Pacers,93,0,N
2009-11-03,2010,Boston Celtics,105,Philadelphia 76ers,74,0,N
2009-11-03,2010,Orlando Magic,80,Detroit Pistons,85,0,N
2009-11-03,2010,Phoenix Suns,104,Miami Heat,96,0,N
2009-11-03,2010,Milwaukee Bucks,81,Chicago Bulls,83,0,N
2009-11-03,2010,Los Angeles Lakers,101,Oklahoma City Thunder,98,1,N
2009-11-03,2010,Utah Jazz,85,Dallas Mavericks,96,0,N
2009-11-03,2010,Atlanta Hawks,97,Portland Trail Blazers,91,0,N
2009-11-04,2010,Phoenix Suns,100,Orlando Magic,122,0,N
2009-11-04,2010,Detroit Pistons,99,Toronto Raptors,110,0,N
2009-11-04,2010,Miami Heat,93,Washington Wizards,89,0,N
2009-11-04,2010,Denver Nuggets,122,New Jersey Nets,94,0,N
2009-11-04,2010,Indiana Pacers,101,New York Knicks,89,0,N
2009-11-04,2010,Boston Celtics,92,Minnesota Timberwolves,90,0,N
2009-11-04,2010,Los Angeles Lakers,103,Houston Rockets,102,1,N
2009-11-04,2010,Dallas Mavericks,107,New Orleans Hornets,114,1,N
2009-11-04,2010,Atlanta Hawks,113,Sacramento Kings,105,0,N
2009-11-04,2010,Memphis Grizzlies,105,Golden State Warriors,113,0,N
2009-11-05,2010,Chicago Bulls,86,Cleveland Cavaliers,85,0,N
2009-11-05,2010,San Antonio Spurs,99,Utah Jazz,113,0,N
2009-11-06,2010,Atlanta Hawks,83,Charlotte Bobcats,103,0,N
2009-11-06,2010,Washington Wizards,86,Indiana Pacers,102,0,N
2009-11-06,2010,Detroit Pistons,103,Orlando Magic,110,0,N
2009-11-06,2010,New Jersey Nets,94,Philadelphia 76ers,97,0,N
2009-11-06,2010,Phoenix Suns,110,Boston Celtics,103,0,N
2009-11-06,2010,Denver Nuggets,88,Miami Heat,96,0,N
2009-11-06,2010,Milwaukee Bucks,87,Minnesota Timberwolves,72,0,N
2009-11-06,2010,Toronto Raptors,107,New Orleans Hornets,90,0,N
2009-11-06,2010,Cleveland Cavaliers,100,New York Knicks,91,0,N
2009-11-06,2010,Oklahoma City Thunder,94,Houston Rockets,105,0,N
2009-11-06,2010,Los Angeles Clippers,118,Golden State Warriors,90,0,N
2009-11-06,2010,Memphis Grizzlies,98,Los Angeles Lakers,114,0,N
2009-11-06,2010,San Antonio Spurs,84,Portland Trail Blazers,96,0,N
2009-11-07,2010,Denver Nuggets,100,Atlanta Hawks,125,0,N
2009-11-07,2010,Boston Celtics,86,New Jersey Nets,76,0,N
2009-11-07,2010,Charlotte Bobcats,90,Chicago Bulls,93,0,N
2009-11-07,2010,Toronto Raptors,101,Dallas Mavericks,129,0,N
2009-11-07,2010,New York Knicks,87,Milwaukee Bucks,102,0,N
2009-11-07,2010,Sacramento Kings,104,Utah Jazz,99,0,N
2009-11-07,2010,Memphis Grizzlies,110,Los Angeles Clippers,113,0,N
2009-11-08,2010,Philadelphia 76ers,81,Detroit Pistons,88,0,N
2009-11-08,2010,Phoenix Suns,102,Washington Wizards,90,0,N
2009-11-08,2010,Orlando Magic,74,Oklahoma City Thunder,102,0,N
2009-11-08,2010,Minnesota Timberwolves,93,Portland Trail Blazers,116,0,N
2009-11-08,2010,Golden State Warriors,107,Sacramento Kings,120,0,N
2009-11-08,2010,New Orleans Hornets,88,Los Angeles Lakers,104,0,N
2009-11-09,2010,Phoenix Suns,119,Philadelphia 76ers,115,0,N
2009-11-09,2010,Utah Jazz,95,New York Knicks,93,0,N
2009-11-09,2010,Toronto Raptors,124,San Antonio Spurs,131,0,N
2009-11-09,2010,Minnesota Timberwolves,105,Golden State Warriors,146,0,N
2009-11-09,2010,New Orleans Hornets,112,Los Angeles Clippers,84,0,N
2009-11-10,2010,Orlando Magic,93,Charlotte Bobcats,81,0,N
2009-11-10,2010,Washington Wizards,76,Miami Heat,90,0,N
2009-11-10,2010,Denver Nuggets,90,Chicago Bulls,89,0,N
2009-11-10,2010,Portland Trail Blazers,93,Memphis Grizzlies,79,0,N
2009-11-10,2010,Houston Rockets,103,Dallas Mavericks,121,0,N
2009-11-10,2010,Oklahoma City Thunder,98,Sacramento Kings,101,0,N
2009-11-11,2010,Golden State Warriors,94,Indiana Pacers,108,0,N
2009-11-11,2010,Chicago Bulls,89,Toronto Raptors,99,0,N
2009-11-11,2010,Utah Jazz,86,Boston Celtics,105,0,N
2009-11-11,2010,Charlotte Bobcats,75,Detroit Pistons,98,0,N
2009-11-11,2010,Philadelphia 76ers,82,New Jersey Nets,79,0,N
2009-11-11,2010,Atlanta Hawks,114,New York Knicks,101,0,N
2009-11-11,2010,Denver Nuggets,102,Milwaukee Bucks,108,0,N
2009-11-11,2010,Portland Trail Blazers,107,Minnesota Timberwolves,84,0,N
2009-11-11,2010,Cleveland Cavaliers,102,Orlando Magic,93,0,N
2009-11-11,2010,Memphis Grizzlies,79,Houston Rockets,104,0,N
2009-11-11,2010,Dallas Mavericks,83,San Antonio Spurs,92,0,N
2009-11-11,2010,Oklahoma City Thunder,83,Los Angeles Clippers,79,0,N
2009-11-11,2010,New Orleans Hornets,104,Phoenix Suns,124,0,N
2009-11-12,2010,Cleveland Cavaliers,111,Miami Heat,104,0,N
2009-11-12,2010,Phoenix Suns,102,Los Angeles Lakers,121,0,N
2009-11-13,2010,New Jersey Nets,72,Orlando Magic,88,0,N
2009-11-13,2010,Utah Jazz,112,Philadelphia 76ers,90,0,N
2009-11-13,2010,Golden State Warriors,121,New York Knicks,107,0,N
2009-11-13,2010,Atlanta Hawks,97,Boston Celtics,86,0,N
2009-11-13,2010,Dallas Mavericks,89,Minnesota Timberwolves,77,0,N
2009-11-13,2010,Portland Trail Blazers,86,New Orleans Hornets,78,0,N
2009-11-13,2010,Houston Rockets,100,Sacramento Kings,109,0,N
2009-11-13,2010,Los Angeles Lakers,79,Denver Nuggets,105,0,N
2009-11-13,2010,Toronto Raptors,104,Los Angeles Clippers,89,0,N
2009-11-14,2010,New Orleans Hornets,98,Atlanta Hawks,121,0,N
2009-11-14,2010,Portland Trail Blazers,80,Charlotte Bobcats,74,0,N
2009-11-14,2010,Boston Celtics,104,Indiana Pacers,113,0,N
