DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1987-11-06,1988,Washington Bullets,97,Atlanta Hawks,114,0,N
1987-11-06,1988,Milwaukee Bucks,108,Boston Celtics,125,0,N
1987-11-06,1988,Utah Jazz,93,Dallas Mavericks,95,0,N
1987-11-06,1988,Los Angeles Clippers,93,Denver Nuggets,139,0,N
1987-11-06,1988,New York Knicks,99,Detroit Pistons,110,0,N
1987-11-06,1988,San Antonio Spurs,102,Houston Rockets,108,0,N
1987-11-06,1988,Seattle SuperSonics,109,Los Angeles Lakers,113,0,N
1987-11-06,1988,Cleveland Cavaliers,114,New Jersey Nets,108,0,N
1987-11-06,1988,Indiana Pacers,95,Philadelphia 76ers,108,0,N
1987-11-06,1988,Phoenix Suns,104,Portland Trail Blazers,118,0,N
1987-11-06,1988,Golden State Warriors,106,Sacramento Kings,134,0,N
1987-11-07,1988,Cleveland Cavaliers,105,Atlanta Hawks,113,0,N
1987-11-07,1988,Philadelphia 76ers,94,Chicago Bulls,104,0,N
1987-11-07,1988,Denver Nuggets,103,Golden State Warriors,99,0,N
1987-11-07,1988,New York Knicks,95,Indiana Pacers,108,0,N
1987-11-07,1988,Portland Trail Blazers,124,Los Angeles Clippers,99,0,N
1987-11-07,1988,Detroit Pistons,105,Milwaukee Bucks,119,0,N
1987-11-07,1988,Dallas Mavericks,106,San Antonio Spurs,130,0,N
1987-11-07,1988,Phoenix Suns,96,Seattle SuperSonics,112,0,N
1987-11-07,1988,Sacramento Kings,100,Utah Jazz,121,0,N
1987-11-07,1988,Boston Celtics,140,Washington Bullets,139,2,N
1987-11-08,1988,Houston Rockets,92,Los Angeles Lakers,101,0,N
1987-11-09,1988,Boston Celtics,96,New York Knicks,87,0,N
1987-11-10,1988,Chicago Bulls,105,Atlanta Hawks,95,0,N
1987-11-10,1988,Detroit Pistons,118,Indiana Pacers,121,0,N
1987-11-10,1988,Utah Jazz,88,Los Angeles Clippers,100,0,N
1987-11-10,1988,Washington Bullets,100,Milwaukee Bucks,115,0,N
1987-11-10,1988,Golden State Warriors,109,Phoenix Suns,123,0,N
1987-11-10,1988,Houston Rockets,118,Portland Trail Blazers,111,0,N
1987-11-10,1988,Denver Nuggets,123,Sacramento Kings,134,0,N
1987-11-10,1988,Los Angeles Lakers,133,San Antonio Spurs,124,0,N
1987-11-10,1988,Dallas Mavericks,117,Seattle SuperSonics,101,0,N
1987-11-11,1988,Indiana Pacers,106,Boston Celtics,120,0,N
1987-11-11,1988,Milwaukee Bucks,109,Cleveland Cavaliers,101,0,N
1987-11-11,1988,Phoenix Suns,115,Golden State Warriors,130,0,N
1987-11-11,1988,Chicago Bulls,105,New Jersey Nets,96,0,N
1987-11-11,1988,Atlanta Hawks,94,New York Knicks,93,0,N
1987-11-11,1988,Dallas Mavericks,92,Utah Jazz,121,0,N
1987-11-12,1988,Portland Trail Blazers,113,Denver Nuggets,126,0,N
1987-11-12,1988,Los Angeles Clippers,82,Los Angeles Lakers,111,0,N
1987-11-12,1988,Houston Rockets,116,Sacramento Kings,114,0,N
1987-11-12,1988,Seattle SuperSonics,118,San Antonio Spurs,123,0,N
1987-11-13,1988,Cleveland Cavaliers,114,Boston Celtics,128,0,N
1987-11-13,1988,New Jersey Nets,85,Chicago Bulls,103,0,N
1987-11-13,1988,Seattle SuperSonics,103,Dallas Mavericks,95,0,N
1987-11-13,1988,Golden State Warriors,94,Los Angeles Clippers,97,0,N
1987-11-13,1988,Detroit Pistons,113,Philadelphia 76ers,94,0,N
1987-11-13,1988,Phoenix Suns,92,Utah Jazz,109,0,N
1987-11-13,1988,New York Knicks,101,Washington Bullets,108,0,N
1987-11-14,1988,Philadelphia 76ers,83,Atlanta Hawks,104,0,N
1987-11-14,1988,Indiana Pacers,111,Chicago Bulls,110,0,N
1987-11-14,1988,Detroit Pistons,128,Cleveland Cavaliers,113,0,N
1987-11-14,1988,Portland Trail Blazers,116,Dallas Mavericks,127,0,N
1987-11-14,1988,Sacramento Kings,109,Denver Nuggets,130,0,N
1987-11-14,1988,Los Angeles Lakers,118,Golden State Warriors,110,0,N
1987-11-14,1988,Utah Jazz,93,Houston Rockets,101,0,N
1987-11-14,1988,Milwaukee Bucks,89,New York Knicks,93,0,N
1987-11-14,1988,San Antonio Spurs,113,Phoenix Suns,124,0,N
1987-11-15,1988,Seattle SuperSonics,106,Houston Rockets,108,0,N
1987-11-15,1988,Boston Celtics,103,Indiana Pacers,98,0,N
1987-11-15,1988,San Antonio Spurs,130,Los Angeles Lakers,147,0,N
1987-11-15,1988,Atlanta Hawks,103,Milwaukee Bucks,112,0,N
1987-11-15,1988,Washington Bullets,113,New Jersey Nets,109,0,N
1987-11-17,1988,Washington Bullets,101,Chicago Bulls,105,0,N
1987-11-17,1988,Boston Celtics,88,Cleveland Cavaliers,109,0,N
1987-11-17,1988,Portland Trail Blazers,115,Los Angeles Lakers,142,0,N
1987-11-17,1988,Golden State Warriors,108,Milwaukee Bucks,120,0,N
1987-11-17,1988,Houston Rockets,111,New Jersey Nets,114,0,N
1987-11-17,1988,Indiana Pacers,126,Sacramento Kings,111,0,N
1987-11-17,1988,Los Angeles Clippers,121,San Antonio Spurs,122,1,N
1987-11-17,1988,Denver Nuggets,110,Utah Jazz,120,0,N
1987-11-18,1988,Golden State Warriors,92,Atlanta Hawks,95,0,N
1987-11-18,1988,New York Knicks,109,Boston Celtics,111,2,N
1987-11-18,1988,Los Angeles Clippers,87,Dallas Mavericks,97,0,N
1987-11-18,1988,Indiana Pacers,117,Denver Nuggets,106,0,N
1987-11-18,1988,Philadelphia 76ers,113,Detroit Pistons,109,0,N
1987-11-18,1988,Utah Jazz,80,Phoenix Suns,90,0,N
1987-11-18,1988,Portland Trail Blazers,114,Seattle SuperSonics,120,0,N
1987-11-18,1988,Chicago Bulls,84,Washington Bullets,82,0,N
1987-11-19,1988,Houston Rockets,105,Cleveland Cavaliers,97,0,N
