DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1967-10-13,1968,Seattle SuperSonics,116,San Francisco Warriors,144,0,N
1967-10-14,1968,Chicago Bulls,90,Boston Celtics,105,0,N
1967-10-14,1968,St. Louis Hawks,99,San Diego Rockets,98,0,N
1967-10-15,1968,St. Louis Hawks,107,San Francisco Warriors,102,0,N
1967-10-17,1968,Los Angeles Lakers,107,Chicago Bulls,105,0,N
1967-10-17,1968,Cincinnati Royals,108,Detroit Pistons,131,0,N
1967-10-17,1968,San Francisco Warriors,122,New York Knicks,124,0,N
1967-10-17,1968,St. Louis Hawks,123,San Diego Rockets,105,0,N
1967-10-18,1968,New York Knicks,98,Baltimore Bullets,121,0,N
1967-10-18,1968,San Francisco Warriors,118,Cincinnati Royals,122,0,N
1967-10-18,1968,Los Angeles Lakers,87,Philadelphia 76ers,103,0,N
1967-10-19,1968,Los Angeles Lakers,95,St. Louis Hawks,100,0,N
1967-10-19,1968,San Francisco Warriors,116,Chicago Bulls,106,0,N
1967-10-20,1968,St. Louis Hawks,126,Chicago Bulls,99,0,N
1967-10-20,1968,San Diego Rockets,121,Seattle SuperSonics,114,0,N
1967-10-21,1968,Boston Celtics,125,Baltimore Bullets,109,0,N
1967-10-21,1968,Chicago Bulls,107,Cincinnati Royals,109,0,N
1967-10-21,1968,Los Angeles Lakers,114,New York Knicks,106,0,N
1967-10-21,1968,Detroit Pistons,111,Philadelphia 76ers,116,0,N
1967-10-21,1968,Seattle SuperSonics,117,San Diego Rockets,110,1,N
1967-10-21,1968,San Francisco Warriors,110,St. Louis Hawks,115,0,N
1967-10-22,1968,Cincinnati Royals,106,Seattle SuperSonics,94,0,N
1967-10-22,1968,San Diego Rockets,126,San Francisco Warriors,137,0,N
1967-10-24,1968,Seattle SuperSonics,125,Baltimore Bullets,136,0,N
1967-10-24,1968,Cincinnati Royals,106,San Francisco Warriors,116,0,N
1967-10-24,1968,Philadelphia 76ers,124,Detroit Pistons,102,0,N
1967-10-24,1968,St. Louis Hawks,135,New York Knicks,130,1,N
1967-10-25,1968,St. Louis Hawks,104,Boston Celtics,118,0,N
1967-10-25,1968,Chicago Bulls,99,Detroit Pistons,107,0,N
1967-10-25,1968,Cincinnati Royals,116,Los Angeles Lakers,132,0,N
