DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1961-10-19,1962,Chicago Packers,103,New York Knicks,120,0,N
1961-10-19,1962,Philadelphia Warriors,113,Los Angeles Lakers,118,0,N
1961-10-20,1962,Los Angeles Lakers,115,Philadelphia Warriors,122,0,N
1961-10-21,1962,Detroit Pistons,102,Boston Celtics,137,0,N
1961-10-21,1962,New York Knicks,95,Philadelphia Warriors,132,0,N
1961-10-21,1962,Cincinnati Royals,138,St. Louis Hawks,129,0,N
1961-10-21,1962,Chicago Packers,103,Syracuse Nationals,123,0,N
1961-10-24,1962,Los Angeles Lakers,124,Cincinnati Royals,122,0,N
1961-10-24,1962,St. Louis Hawks,110,New York Knicks,112,0,N
1961-10-25,1962,Los Angeles Lakers,120,Detroit Pistons,116,0,N
1961-10-26,1962,Syracuse Nationals,107,St. Louis Hawks,110,0,N
1961-10-26,1962,Cincinnati Royals,117,New York Knicks,120,0,N
1961-10-27,1962,St. Louis Hawks,106,Chicago Packers,117,0,N
1961-10-27,1962,Detroit Pistons,118,Los Angeles Lakers,128,0,N
1961-10-27,1962,Syracuse Nationals,126,Philadelphia Warriors,122,0,N
1961-10-28,1962,New York Knicks,102,Boston Celtics,132,0,N
1961-10-28,1962,Detroit Pistons,126,Los Angeles Lakers,135,0,N
1961-10-28,1962,Chicago Packers,95,St. Louis Hawks,122,0,N
1961-10-28,1962,Philadelphia Warriors,119,Syracuse Nationals,115,0,N
1961-10-29,1962,Syracuse Nationals,132,Cincinnati Royals,139,0,N
1961-10-31,1962,New York Knicks,131,Cincinnati Royals,127,0,N
1961-10-31,1962,Syracuse Nationals,107,St. Louis Hawks,90,0,N
1961-11-01,1962,Cincinnati Royals,115,Los Angeles Lakers,120,0,N
1961-11-01,1962,New York Knicks,95,Detroit Pistons,111,0,N
1961-11-03,1962,New York Knicks,118,Chicago Packers,129,0,N
1961-11-03,1962,Cincinnati Royals,132,Los Angeles Lakers,114,0,N
1961-11-03,1962,Boston Celtics,112,Philadelphia Warriors,98,0,N
1961-11-03,1962,St. Louis Hawks,106,Syracuse Nationals,94,0,N
1961-11-04,1962,Syracuse Nationals,107,Boston Celtics,127,0,N
1961-11-04,1962,Los Angeles Lakers,125,Chicago Packers,112,0,N
1961-11-04,1962,Detroit Pistons,132,Philadelphia Warriors,135,0,N
1961-11-04,1962,New York Knicks,111,St. Louis Hawks,112,0,N
1961-11-07,1962,New York Knicks,98,Cincinnati Royals,123,0,N
1961-11-07,1962,Los Angeles Lakers,127,St. Louis Hawks,110,0,N
1961-11-08,1962,New York Knicks,130,Chicago Packers,108,0,N
1961-11-08,1962,Philadelphia Warriors,132,Detroit Pistons,128,0,N
1961-11-08,1962,St. Louis Hawks,118,Los Angeles Lakers,124,0,N
1961-11-09,1962,Detroit Pistons,116,Boston Celtics,110,0,N
1961-11-09,1962,Syracuse Nationals,108,Philadelphia Warriors,151,0,N
1961-11-10,1962,Chicago Packers,117,Cincinnati Royals,122,0,N
1961-11-10,1962,Detroit Pistons,124,New York Knicks,118,0,N
1961-11-11,1962,Philadelphia Warriors,125,Boston Celtics,128,0,N
1961-11-11,1962,Cincinnati Royals,117,Chicago Packers,107,0,N
1961-11-11,1962,Detroit Pistons,119,St. Louis Hawks,132,0,N
1961-11-11,1962,New York Knicks,109,Syracuse Nationals,135,0,N
1961-11-12,1962,Boston Celtics,112,Chicago Packers,96,0,N
1961-11-12,1962,St. Louis Hawks,126,Cincinnati Royals,136,0,N
1961-11-13,1962,Chicago Packers,113,Los Angeles Lakers,127,0,N
1961-11-14,1962,Syracuse Nationals,115,Cincinnati Royals,119,0,N
1961-11-14,1962,Philadelphia Warriors,122,New York Knicks,124,0,N
1961-11-14,1962,Boston Celtics,119,St. Louis Hawks,117,0,N
1961-11-15,1962,Cincinnati Royals,133,Philadelphia Warriors,145,0,N
1961-11-15,1962,Syracuse Nationals,114,New York Knicks,102,0,N
1961-11-15,1962,St. Louis Hawks,122,Detroit Pistons,127,0,N
1961-11-15,1962,Chicago Packers,118,Los Angeles Lakers,133,0,N
1961-11-16,1962,Boston Celtics,127,Cincinnati Royals,121,0,N
1961-11-17,1962,Boston Celtics,104,New York Knicks,100,0,N
1961-11-17,1962,Los Angeles Lakers,125,Philadelphia Warriors,121,0,N
1961-11-18,1962,Los Angeles Lakers,103,Boston Celtics,101,0,N
1961-11-18,1962,Chicago Packers,112,Detroit Pistons,119,0,N
1961-11-18,1962,Cincinnati Royals,133,St. Louis Hawks,136,0,N
1961-11-18,1962,Philadelphia Warriors,130,Syracuse Nationals,148,0,N
1961-11-19,1962,Philadelphia Warriors,122,Chicago Packers,114,0,N
1961-11-19,1962,Detroit Pistons,112,Cincinnati Royals,128,0,N
1961-11-21,1962,Philadelphia Warriors,125,Cincinnati Royals,118,0,N
1961-11-21,1962,Los Angeles Lakers,102,Detroit Pistons,108,0,N
1961-11-21,1962,Chicago Packers,109,New York Knicks,107,0,N
1961-11-22,1962,St. Louis Hawks,121,Boston Celtics,141,0,N
1961-11-22,1962,Syracuse Nationals,109,New York Knicks,110,0,N
1961-11-23,1962,Los Angeles Lakers,122,St. Louis Hawks,114,0,N
