DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1966-10-15,1967,San Francisco Warriors,113,Boston Celtics,121,0,N
1966-10-15,1967,Los Angeles Lakers,126,Baltimore Bullets,115,0,N
1966-10-15,1967,Chicago Bulls,104,St. Louis Hawks,97,0,N
1966-10-15,1967,New York Knicks,112,Philadelphia 76ers,128,0,N
1966-10-15,1967,Detroit Pistons,99,Cincinnati Royals,103,0,N
1966-10-18,1967,San Francisco Warriors,116,Chicago Bulls,119,0,N
1966-10-18,1967,Cincinnati Royals,112,Detroit Pistons,114,0,N
1966-10-18,1967,Los Angeles Lakers,119,New York Knicks,122,0,N
1966-10-19,1967,New York Knicks,131,Baltimore Bullets,109,0,N
1966-10-19,1967,Los Angeles Lakers,124,Chicago Bulls,134,0,N
1966-10-20,1967,San Francisco Warriors,121,Chicago Bulls,111,0,N
1966-10-20,1967,St. Louis Hawks,113,Detroit Pistons,105,0,N
1966-10-21,1967,Baltimore Bullets,91,Boston Celtics,111,0,N
1966-10-21,1967,Chicago Bulls,108,Los Angeles Lakers,101,0,N
1966-10-21,1967,St. Louis Hawks,110,Philadelphia 76ers,119,0,N
1966-10-21,1967,Detroit Pistons,119,San Francisco Warriors,136,0,N
1966-10-22,1967,Cincinnati Royals,123,St. Louis Hawks,133,1,N
1966-10-22,1967,Boston Celtics,126,New York Knicks,97,0,N
1966-10-22,1967,Philadelphia 76ers,141,Baltimore Bullets,112,0,N
1966-10-23,1967,New York Knicks,124,Chicago Bulls,105,0,N
1966-10-23,1967,San Francisco Warriors,110,Detroit Pistons,119,0,N
1966-10-25,1967,Baltimore Bullets,110,Philadelphia 76ers,130,0,N
1966-10-26,1967,Cincinnati Royals,116,Baltimore Bullets,122,0,N
1966-10-26,1967,New York Knicks,133,Los Angeles Lakers,122,0,N
1966-10-27,1967,Chicago Bulls,100,Boston Celtics,123,0,N
1966-10-27,1967,St. Louis Hawks,118,Cincinnati Royals,121,0,N
1966-10-28,1967,San Francisco Warriors,105,Baltimore Bullets,104,0,N
1966-10-28,1967,Detroit Pistons,129,Chicago Bulls,117,0,N
1966-10-28,1967,New York Knicks,114,Los Angeles Lakers,124,0,N
1966-10-29,1967,San Francisco Warriors,127,Cincinnati Royals,115,0,N
1966-10-29,1967,Baltimore Bullets,97,Detroit Pistons,103,0,N
1966-10-29,1967,Boston Celtics,96,Philadelphia 76ers,138,0,N
1966-10-29,1967,Los Angeles Lakers,109,St. Louis Hawks,110,0,N
1966-10-30,1967,Los Angeles Lakers,121,Detroit Pistons,124,0,N
1966-11-01,1967,San Francisco Warriors,137,Chicago Bulls,121,0,N
1966-11-02,1967,Los Angeles Lakers,108,Boston Celtics,133,0,N
1966-11-02,1967,New York Knicks,129,Cincinnati Royals,131,0,N
1966-11-02,1967,Baltimore Bullets,94,Chicago Bulls,102,0,N
1966-11-03,1967,Chicago Bulls,108,Boston Celtics,137,0,N
1966-11-03,1967,St. Louis Hawks,108,Philadelphia 76ers,120,0,N
1966-11-03,1967,San Francisco Warriors,108,New York Knicks,123,0,N
1966-11-04,1967,Cincinnati Royals,120,Detroit Pistons,115,0,N
1966-11-04,1967,Baltimore Bullets,98,Los Angeles Lakers,131,0,N
1966-11-04,1967,San Francisco Warriors,129,Philadelphia 76ers,134,0,N
1966-11-05,1967,Philadelphia 76ers,87,Boston Celtics,105,0,N
1966-11-05,1967,Chicago Bulls,113,Cincinnati Royals,99,0,N
1966-11-05,1967,Detroit Pistons,104,New York Knicks,115,0,N
1966-11-05,1967,San Francisco Warriors,120,St. Louis Hawks,122,0,N
1966-11-06,1967,St. Louis Hawks,102,Chicago Bulls,134,0,N
1966-11-06,1967,Baltimore Bullets,117,San Francisco Warriors,120,0,N
