DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
2012-10-30,2013,Washington Wizards,84,Cleveland Cavaliers,94,0,N
2012-10-30,2013,Boston Celtics,107,Miami Heat,120,0,N
2012-10-30,2013,Dallas Mavericks,99,Los Angeles Lakers,91,0,N
2012-10-31,2013,Denver Nuggets,75,Philadelphia 76ers,84,0,N
2012-10-31,2013,Indiana Pacers,90,Toronto Raptors,88,0,N
2012-10-31,2013,Houston Rockets,105,Detroit Pistons,96,0,N
2012-10-31,2013,Sacramento Kings,87,Chicago Bulls,93,0,N
2012-10-31,2013,San Antonio Spurs,99,New Orleans Hornets,95,0,N
2012-10-31,2013,Dallas Mavericks,94,Utah Jazz,113,0,N
2012-10-31,2013,Golden State Warriors,87,Phoenix Suns,85,0,N
2012-10-31,2013,Memphis Grizzlies,92,Los Angeles Clippers,101,0,N
2012-10-31,2013,Los Angeles Lakers,106,Portland Trail Blazers,116,0,N
2012-11-01,2013,Oklahoma City Thunder,84,San Antonio Spurs,86,0,N
2012-11-02,2013,Indiana Pacers,89,Charlotte Bobcats,90,0,N
2012-11-02,2013,Denver Nuggets,89,Orlando Magic,102,0,N
2012-11-02,2013,Houston Rockets,109,Atlanta Hawks,102,0,N
2012-11-02,2013,Milwaukee Bucks,99,Boston Celtics,88,0,N
2012-11-02,2013,Chicago Bulls,115,Cleveland Cavaliers,86,0,N
2012-11-02,2013,Sacramento Kings,80,Minnesota Timberwolves,92,0,N
2012-11-02,2013,Utah Jazz,86,New Orleans Hornets,88,0,N
2012-11-02,2013,Miami Heat,84,New York Knicks,104,0,N
2012-11-02,2013,Portland Trail Blazers,92,Oklahoma City Thunder,106,0,N
2012-11-02,2013,Detroit Pistons,89,Phoenix Suns,92,0,N
2012-11-02,2013,Memphis Grizzlies,104,Golden State Warriors,94,0,N
2012-11-02,2013,Los Angeles Clippers,105,Los Angeles Lakers,95,0,N
2012-11-03,2013,Sacramento Kings,98,Indiana Pacers,106,2,N
2012-11-03,2013,Boston Celtics,89,Washington Wizards,86,0,N
2012-11-03,2013,Toronto Raptors,100,Brooklyn Nets,107,0,N
2012-11-03,2013,Denver Nuggets,116,Miami Heat,119,0,N
2012-11-03,2013,New Orleans Hornets,89,Chicago Bulls,82,0,N
2012-11-03,2013,Portland Trail Blazers,95,Houston Rockets,85,1,N
2012-11-03,2013,Charlotte Bobcats,99,Dallas Mavericks,126,0,N
2012-11-03,2013,Cleveland Cavaliers,102,Milwaukee Bucks,105,0,N
2012-11-03,2013,Utah Jazz,100,San Antonio Spurs,110,0,N
2012-11-03,2013,Golden State Warriors,114,Los Angeles Clippers,110,0,N
2012-11-04,2013,Philadelphia 76ers,84,New York Knicks,100,0,N
2012-11-04,2013,Phoenix Suns,94,Orlando Magic,115,0,N
2012-11-04,2013,Minnesota Timberwolves,86,Toronto Raptors,105,0,N
