DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1963-10-16,1964,Philadelphia 76ers,117,Detroit Pistons,115,0,N
1963-10-16,1964,Cincinnati Royals,112,St. Louis Hawks,93,0,N
1963-10-16,1964,Boston Celtics,109,Baltimore Bullets,95,0,N
1963-10-17,1964,Boston Celtics,93,Cincinnati Royals,92,0,N
1963-10-17,1964,Baltimore Bullets,115,New York Knicks,113,0,N
1963-10-19,1964,San Francisco Warriors,103,Baltimore Bullets,102,0,N
1963-10-19,1964,New York Knicks,97,Cincinnati Royals,121,0,N
1963-10-19,1964,Detroit Pistons,124,Philadelphia 76ers,121,0,N
1963-10-19,1964,Los Angeles Lakers,108,St. Louis Hawks,117,0,N
1963-10-22,1964,San Francisco Warriors,97,Cincinnati Royals,103,0,N
1963-10-22,1964,Los Angeles Lakers,130,New York Knicks,117,0,N
1963-10-23,1964,San Francisco Warriors,99,St. Louis Hawks,95,0,N
1963-10-23,1964,Los Angeles Lakers,124,Detroit Pistons,116,0,N
1963-10-23,1964,New York Knicks,106,Baltimore Bullets,115,0,N
1963-10-25,1964,Los Angeles Lakers,122,Cincinnati Royals,109,0,N
1963-10-25,1964,New York Knicks,136,Philadelphia 76ers,112,0,N
1963-10-26,1964,Baltimore Bullets,108,Boston Celtics,123,0,N
1963-10-26,1964,Philadelphia 76ers,101,New York Knicks,109,0,N
1963-10-26,1964,Cincinnati Royals,99,San Francisco Warriors,102,0,N
1963-10-26,1964,Detroit Pistons,103,St. Louis Hawks,127,0,N
1963-10-27,1964,St. Louis Hawks,123,Baltimore Bullets,112,0,N
1963-10-29,1964,St. Louis Hawks,109,New York Knicks,103,1,N
1963-10-29,1964,Cincinnati Royals,108,San Francisco Warriors,101,0,N
1963-10-30,1964,Philadelphia 76ers,111,Baltimore Bullets,108,0,N
1963-10-30,1964,Boston Celtics,108,Detroit Pistons,102,0,N
1963-10-30,1964,Cincinnati Royals,115,Los Angeles Lakers,107,0,N
1963-10-30,1964,New York Knicks,104,St. Louis Hawks,121,0,N
1963-11-01,1964,Boston Celtics,119,Philadelphia 76ers,102,0,N
1963-11-01,1964,Cincinnati Royals,112,Los Angeles Lakers,122,0,N
