DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1989-11-03,1990,Indiana Pacers,126,Atlanta Hawks,103,0,N
1989-11-03,1990,Milwaukee Bucks,114,Boston Celtics,127,0,N
1989-11-03,1990,Washington Bullets,116,Charlotte Hornets,96,0,N
1989-11-03,1990,Cleveland Cavaliers,119,Chicago Bulls,124,1,N
1989-11-03,1990,Los Angeles Lakers,102,Dallas Mavericks,94,0,N
1989-11-03,1990,New York Knicks,103,Detroit Pistons,106,0,N
1989-11-03,1990,Houston Rockets,88,Los Angeles Clippers,102,0,N
1989-11-03,1990,New Jersey Nets,110,Miami Heat,90,0,N
1989-11-03,1990,Golden State Warriors,106,Phoenix Suns,136,0,N
1989-11-03,1990,Sacramento Kings,96,Portland Trail Blazers,114,0,N
1989-11-03,1990,Minnesota Timberwolves,94,Seattle SuperSonics,106,0,N
1989-11-03,1990,Denver Nuggets,113,Utah Jazz,122,0,N
1989-11-04,1990,Boston Celtics,102,Chicago Bulls,100,0,N
1989-11-04,1990,Phoenix Suns,132,Denver Nuggets,135,0,N
1989-11-04,1990,Houston Rockets,132,Golden State Warriors,105,0,N
1989-11-04,1990,Cleveland Cavaliers,98,Indiana Pacers,106,0,N
1989-11-04,1990,Miami Heat,99,New York Knicks,119,0,N
1989-11-04,1990,New Jersey Nets,111,Orlando Magic,106,0,N
1989-11-04,1990,Milwaukee Bucks,102,Philadelphia 76ers,96,0,N
1989-11-04,1990,Seattle SuperSonics,100,Sacramento Kings,107,0,N
1989-11-04,1990,Los Angeles Lakers,98,San Antonio Spurs,106,0,N
1989-11-04,1990,Detroit Pistons,95,Washington Bullets,93,0,N
1989-11-05,1990,Minnesota Timberwolves,83,Portland Trail Blazers,93,0,N
1989-11-06,1990,New York Knicks,110,Orlando Magic,118,0,N
1989-11-07,1990,Washington Bullets,118,Atlanta Hawks,114,0,N
1989-11-07,1990,Detroit Pistons,114,Chicago Bulls,117,0,N
1989-11-07,1990,Los Angeles Clippers,94,Golden State Warriors,118,0,N
1989-11-07,1990,Portland Trail Blazers,86,Houston Rockets,109,0,N
1989-11-07,1990,Phoenix Suns,107,Los Angeles Lakers,111,0,N
1989-11-07,1990,Boston Celtics,100,Milwaukee Bucks,106,0,N
1989-11-07,1990,Miami Heat,83,New Jersey Nets,77,0,N
1989-11-07,1990,Dallas Mavericks,94,Sacramento Kings,96,0,N
1989-11-07,1990,Charlotte Hornets,88,Seattle SuperSonics,128,0,N
1989-11-08,1990,Orlando Magic,117,Cleveland Cavaliers,110,1,N
1989-11-08,1990,Sacramento Kings,84,Denver Nuggets,102,0,N
1989-11-08,1990,Detroit Pistons,74,Indiana Pacers,95,0,N
1989-11-08,1990,Dallas Mavericks,123,Los Angeles Clippers,99,0,N
1989-11-08,1990,Chicago Bulls,96,Minnesota Timberwolves,84,0,N
1989-11-08,1990,Miami Heat,91,Philadelphia 76ers,115,0,N
1989-11-08,1990,Portland Trail Blazers,108,San Antonio Spurs,104,0,N
1989-11-08,1990,Charlotte Hornets,86,Utah Jazz,102,0,N
1989-11-08,1990,Boston Celtics,103,Washington Bullets,112,0,N
1989-11-09,1990,Los Angeles Lakers,106,Golden State Warriors,95,0,N
1989-11-09,1990,Denver Nuggets,128,Houston Rockets,127,1,N
1989-11-09,1990,Seattle SuperSonics,154,Milwaukee Bucks,155,5,N
1989-11-09,1990,New Jersey Nets,105,New York Knicks,107,0,N
1989-11-10,1990,Atlanta Hawks,106,Boston Celtics,117,0,N
1989-11-10,1990,Portland Trail Blazers,99,Dallas Mavericks,91,0,N
1989-11-10,1990,Miami Heat,98,Indiana Pacers,102,0,N
1989-11-10,1990,Charlotte Hornets,100,Los Angeles Lakers,106,0,N
1989-11-10,1990,Philadelphia 76ers,118,Minnesota Timberwolves,125,1,N
1989-11-10,1990,Chicago Bulls,107,New Jersey Nets,117,0,N
1989-11-10,1990,Detroit Pistons,125,Orlando Magic,121,0,N
1989-11-10,1990,Sacramento Kings,109,Phoenix Suns,130,0,N
1989-11-10,1990,San Antonio Spurs,92,Utah Jazz,106,0,N
1989-11-10,1990,Cleveland Cavaliers,92,Washington Bullets,100,0,N
1989-11-11,1990,Orlando Magic,109,Atlanta Hawks,148,0,N
1989-11-11,1990,Seattle SuperSonics,102,Chicago Bulls,109,0,N
1989-11-11,1990,Boston Celtics,101,Cleveland Cavaliers,104,0,N
1989-11-11,1990,Charlotte Hornets,104,Golden State Warriors,115,0,N
1989-11-11,1990,Utah Jazz,92,Houston Rockets,100,0,N
1989-11-11,1990,New York Knicks,112,Los Angeles Clippers,111,0,N
1989-11-11,1990,Detroit Pistons,84,Miami Heat,88,0,N
1989-11-11,1990,Philadelphia 76ers,104,Milwaukee Bucks,96,0,N
1989-11-11,1990,Denver Nuggets,108,San Antonio Spurs,122,0,N
1989-11-12,1990,Dallas Mavericks,98,Los Angeles Lakers,107,0,N
1989-11-12,1990,Seattle SuperSonics,108,Minnesota Timberwolves,97,0,N
1989-11-12,1990,Washington Bullets,104,Portland Trail Blazers,95,0,N
1989-11-13,1990,Atlanta Hawks,112,Orlando Magic,104,0,N
1989-11-13,1990,Washington Bullets,93,Utah Jazz,106,0,N
1989-11-14,1990,Philadelphia 76ers,94,Boston Celtics,96,0,N
1989-11-14,1990,Orlando Magic,116,Charlotte Hornets,130,0,N
1989-11-14,1990,Denver Nuggets,121,Los Angeles Clippers,129,0,N
1989-11-14,1990,Houston Rockets,99,Miami Heat,101,0,N
1989-11-14,1990,San Antonio Spurs,97,Milwaukee Bucks,108,0,N
1989-11-14,1990,Golden State Warriors,98,Minnesota Timberwolves,101,0,N
1989-11-14,1990,Cleveland Cavaliers,103,New Jersey Nets,92,0,N
1989-11-14,1990,New York Knicks,117,Portland Trail Blazers,118,0,N
1989-11-14,1990,Chicago Bulls,96,Sacramento Kings,94,0,N
