DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
2013-10-29,2014,Orlando Magic,87,Indiana Pacers,97,0,N
2013-10-29,2014,Chicago Bulls,95,Miami Heat,107,0,N
2013-10-29,2014,Los Angeles Clippers,103,Los Angeles Lakers,116,0,N
2013-10-30,2014,Brooklyn Nets,94,Cleveland Cavaliers,98,0,N
2013-10-30,2014,Boston Celtics,87,Toronto Raptors,93,0,N
2013-10-30,2014,Miami Heat,110,Philadelphia 76ers,114,0,N
2013-10-30,2014,Washington Wizards,102,Detroit Pistons,113,0,N
2013-10-30,2014,Milwaukee Bucks,83,New York Knicks,90,0,N
2013-10-30,2014,Indiana Pacers,95,New Orleans Pelicans,90,0,N
2013-10-30,2014,Orlando Magic,115,Minnesota Timberwolves,120,1,N
2013-10-30,2014,Charlotte Bobcats,83,Houston Rockets,96,0,N
2013-10-30,2014,Memphis Grizzlies,94,San Antonio Spurs,101,0,N
2013-10-30,2014,Atlanta Hawks,109,Dallas Mavericks,118,0,N
2013-10-30,2014,Oklahoma City Thunder,101,Utah Jazz,98,0,N
2013-10-30,2014,Portland Trail Blazers,91,Phoenix Suns,104,0,N
2013-10-30,2014,Denver Nuggets,88,Sacramento Kings,90,0,N
2013-10-30,2014,Los Angeles Lakers,94,Golden State Warriors,125,0,N
2013-10-31,2014,New York Knicks,81,Chicago Bulls,82,0,N
2013-10-31,2014,Golden State Warriors,115,Los Angeles Clippers,126,0,N
2013-11-01,2014,Cleveland Cavaliers,84,Charlotte Bobcats,90,0,N
2013-11-01,2014,New Orleans Pelicans,90,Orlando Magic,110,0,N
2013-11-01,2014,Philadelphia 76ers,109,Washington Wizards,102,0,N
2013-11-01,2014,Toronto Raptors,95,Atlanta Hawks,102,0,N
2013-11-01,2014,Milwaukee Bucks,105,Boston Celtics,98,0,N
2013-11-01,2014,Miami Heat,100,Brooklyn Nets,101,0,N
2013-11-01,2014,Dallas Mavericks,105,Houston Rockets,113,0,N
2013-11-01,2014,Detroit Pistons,108,Memphis Grizzlies,111,1,N
2013-11-01,2014,Oklahoma City Thunder,81,Minnesota Timberwolves,100,0,N
2013-11-01,2014,Portland Trail Blazers,113,Denver Nuggets,98,0,N
2013-11-01,2014,Utah Jazz,84,Phoenix Suns,87,0,N
2013-11-01,2014,Los Angeles Clippers,110,Sacramento Kings,101,0,N
2013-11-01,2014,San Antonio Spurs,91,Los Angeles Lakers,85,0,N
2013-11-02,2014,Cleveland Cavaliers,74,Indiana Pacers,89,0,N
2013-11-02,2014,Chicago Bulls,104,Philadelphia 76ers,107,0,N
2013-11-02,2014,Charlotte Bobcats,84,New Orleans Pelicans,105,0,N
2013-11-02,2014,Memphis Grizzlies,99,Dallas Mavericks,111,0,N
2013-11-02,2014,Toronto Raptors,97,Milwaukee Bucks,90,0,N
2013-11-02,2014,Houston Rockets,104,Utah Jazz,93,0,N
2013-11-02,2014,San Antonio Spurs,105,Portland Trail Blazers,115,0,N
2013-11-02,2014,Sacramento Kings,87,Golden State Warriors,98,0,N
