DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1973-10-09,1974,Houston Rockets,105,Buffalo Braves,107,1,N
1973-10-09,1974,Los Angeles Lakers,117,Chicago Bulls,97,0,N
1973-10-09,1974,Detroit Pistons,100,New York Knicks,101,0,N
1973-10-09,1974,Capital Bullets,114,Atlanta Hawks,128,0,N
1973-10-10,1974,Chicago Bulls,105,Kansas City-Omaha Kings,90,0,N
1973-10-10,1974,Houston Rockets,104,Philadelphia 76ers,88,0,N
1973-10-10,1974,Seattle SuperSonics,111,Phoenix Suns,115,0,N
1973-10-11,1974,Los Angeles Lakers,102,Atlanta Hawks,129,0,N
1973-10-12,1974,Buffalo Braves,112,Boston Celtics,118,0,N
1973-10-12,1974,Capital Bullets,102,Seattle SuperSonics,103,0,N
1973-10-12,1974,Milwaukee Bucks,107,Phoenix Suns,84,0,N
1973-10-12,1974,Chicago Bulls,84,Kansas City-Omaha Kings,88,0,N
1973-10-12,1974,Atlanta Hawks,105,Detroit Pistons,122,0,N
1973-10-12,1974,Houston Rockets,106,Cleveland Cavaliers,99,0,N
1973-10-13,1974,Boston Celtics,111,Philadelphia 76ers,106,0,N
1973-10-13,1974,Capital Bullets,87,Portland Trail Blazers,132,0,N
1973-10-13,1974,Houston Rockets,86,New York Knicks,85,0,N
1973-10-13,1974,Detroit Pistons,94,Chicago Bulls,101,0,N
1973-10-13,1974,Kansas City-Omaha Kings,117,Atlanta Hawks,102,0,N
1973-10-13,1974,Los Angeles Lakers,125,Buffalo Braves,122,0,N
1973-10-13,1974,Milwaukee Bucks,97,Golden State Warriors,85,0,N
1973-10-14,1974,Detroit Pistons,95,Cleveland Cavaliers,83,0,N
1973-10-14,1974,Golden State Warriors,120,Phoenix Suns,95,0,N
1973-10-14,1974,Milwaukee Bucks,100,Seattle SuperSonics,109,0,N
1973-10-16,1974,Philadelphia 76ers,106,Houston Rockets,101,0,N
1973-10-16,1974,Buffalo Braves,91,New York Knicks,117,0,N
1973-10-17,1974,Kansas City-Omaha Kings,108,Seattle SuperSonics,106,0,N
1973-10-17,1974,Golden State Warriors,95,Milwaukee Bucks,109,0,N
1973-10-19,1974,Philadelphia 76ers,102,Boston Celtics,133,0,N
1973-10-19,1974,Capital Bullets,103,Chicago Bulls,117,0,N
1973-10-19,1974,New York Knicks,92,Cleveland Cavaliers,90,0,N
1973-10-19,1974,Milwaukee Bucks,96,Detroit Pistons,94,0,N
1973-10-19,1974,Seattle SuperSonics,91,Los Angeles Lakers,118,0,N
1973-10-19,1974,Kansas City-Omaha Kings,99,Portland Trail Blazers,111,0,N
1973-10-20,1974,Seattle SuperSonics,108,Portland Trail Blazers,123,0,N
1973-10-20,1974,Atlanta Hawks,108,Phoenix Suns,118,0,N
1973-10-20,1974,Chicago Bulls,85,New York Knicks,69,0,N
1973-10-20,1974,Cleveland Cavaliers,88,Milwaukee Bucks,101,0,N
