DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1982-10-29,1983,Dallas Mavericks,125,Denver Nuggets,117,0,N
1982-10-29,1983,Atlanta Hawks,86,Detroit Pistons,94,0,N
1982-10-29,1983,Washington Bullets,90,Indiana Pacers,93,0,N
1982-10-29,1983,Portland Trail Blazers,111,Kansas City Kings,113,0,N
1982-10-29,1983,Golden State Warriors,132,Los Angeles Lakers,117,0,N
1982-10-29,1983,Philadelphia 76ers,104,New York Knicks,89,0,N
1982-10-29,1983,Phoenix Suns,113,San Diego Clippers,99,0,N
1982-10-29,1983,Houston Rockets,95,Seattle SuperSonics,128,0,N
1982-10-29,1983,San Antonio Spurs,120,Utah Jazz,114,0,N
1982-10-29,1983,Boston Celtics,104,Cleveland Cavaliers,93,0,N
1982-10-29,1983,Chicago Bulls,102,New Jersey Nets,114,0,N
1982-10-30,1983,Boston Celtics,112,Atlanta Hawks,97,0,N
1982-10-30,1983,Portland Trail Blazers,107,San Antonio Spurs,112,0,N
1982-10-30,1983,New Jersey Nets,99,Philadelphia 76ers,110,0,N
1982-10-30,1983,New York Knicks,86,Milwaukee Bucks,108,0,N
1982-10-30,1983,Houston Rockets,110,Golden State Warriors,117,0,N
1982-10-30,1983,Utah Jazz,128,Dallas Mavericks,123,0,N
1982-10-30,1983,Washington Bullets,143,Chicago Bulls,125,0,N
1982-10-31,1983,Milwaukee Bucks,119,Cleveland Cavaliers,95,0,N
1982-10-31,1983,Phoenix Suns,110,Denver Nuggets,114,0,N
1982-10-31,1983,Detroit Pistons,118,Indiana Pacers,115,0,N
1982-10-31,1983,Seattle SuperSonics,127,San Diego Clippers,109,0,N
1982-11-02,1983,Washington Bullets,88,Atlanta Hawks,105,0,N
1982-11-02,1983,Detroit Pistons,128,Cleveland Cavaliers,119,0,N
1982-11-02,1983,Dallas Mavericks,113,Houston Rockets,103,0,N
1982-11-02,1983,Milwaukee Bucks,112,Kansas City Kings,119,0,N
1982-11-02,1983,Portland Trail Blazers,87,Phoenix Suns,92,0,N
1982-11-02,1983,Seattle SuperSonics,120,Utah Jazz,92,0,N
1982-11-02,1983,San Diego Clippers,100,New Jersey Nets,110,0,N
1982-11-03,1983,Indiana Pacers,104,Boston Celtics,111,0,N
