DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1976-10-21,1977,Boston Celtics,129,Indiana Pacers,122,1,N
1976-10-21,1977,Buffalo Braves,133,Milwaukee Bucks,112,0,N
1976-10-21,1977,Los Angeles Lakers,97,New York Knicks,102,0,N
1976-10-21,1977,Houston Rockets,120,Atlanta Hawks,104,0,N
1976-10-22,1977,Chicago Bulls,95,Cleveland Cavaliers,106,0,N
1976-10-22,1977,New York Nets,104,Golden State Warriors,103,0,N
1976-10-22,1977,Denver Nuggets,123,Indiana Pacers,110,0,N
1976-10-22,1977,Detroit Pistons,99,Kansas City Kings,96,0,N
1976-10-22,1977,Phoenix Suns,98,New Orleans Jazz,111,0,N
1976-10-22,1977,San Antonio Spurs,121,Philadelphia 76ers,118,0,N
1976-10-22,1977,Los Angeles Lakers,103,Washington Bullets,84,0,N
1976-10-23,1977,Indiana Pacers,97,Chicago Bulls,102,0,N
1976-10-23,1977,New York Nets,104,Portland Trail Blazers,114,0,N
1976-10-23,1977,San Antonio Spurs,98,New York Knicks,117,0,N
1976-10-23,1977,Boston Celtics,111,Milwaukee Bucks,107,1,N
1976-10-23,1977,Phoenix Suns,126,Houston Rockets,129,0,N
1976-10-23,1977,Washington Bullets,98,Detroit Pistons,97,0,N
1976-10-23,1977,Kansas City Kings,99,Denver Nuggets,120,0,N
1976-10-23,1977,Philadelphia 76ers,105,Buffalo Braves,108,0,N
1976-10-24,1977,Milwaukee Bucks,91,Atlanta Hawks,115,0,N
1976-10-24,1977,Los Angeles Lakers,95,Cleveland Cavaliers,100,0,N
1976-10-24,1977,New York Nets,93,Seattle SuperSonics,104,0,N
1976-10-26,1977,Golden State Warriors,96,Portland Trail Blazers,110,0,N
1976-10-26,1977,Buffalo Braves,104,New York Knicks,118,0,N
1976-10-26,1977,Philadelphia 76ers,111,New Orleans Jazz,101,0,N
1976-10-26,1977,Seattle SuperSonics,90,Indiana Pacers,120,0,N
1976-10-26,1977,Milwaukee Bucks,88,Chicago Bulls,90,0,N
1976-10-26,1977,San Antonio Spurs,114,Atlanta Hawks,122,0,N
