DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1970-10-13,1971,Boston Celtics,107,New York Knicks,114,0,N
1970-10-13,1971,San Diego Rockets,96,Chicago Bulls,111,0,N
1970-10-14,1971,Cleveland Cavaliers,92,Buffalo Braves,107,0,N
1970-10-14,1971,San Diego Rockets,105,Baltimore Bullets,123,0,N
1970-10-14,1971,Detroit Pistons,123,Seattle SuperSonics,117,0,N
1970-10-14,1971,Chicago Bulls,107,Philadelphia 76ers,110,0,N
1970-10-14,1971,New York Knicks,128,Cincinnati Royals,104,0,N
1970-10-15,1971,Boston Celtics,100,Phoenix Suns,119,0,N
1970-10-16,1971,Los Angeles Lakers,106,Chicago Bulls,102,0,N
1970-10-16,1971,San Diego Rockets,119,Philadelphia 76ers,127,0,N
1970-10-16,1971,Cleveland Cavaliers,112,Portland Trail Blazers,115,0,N
1970-10-16,1971,Detroit Pistons,120,San Francisco Warriors,106,0,N
1970-10-17,1971,Milwaukee Bucks,107,Atlanta Hawks,98,0,N
1970-10-17,1971,Los Angeles Lakers,116,Baltimore Bullets,118,1,N
1970-10-17,1971,San Diego Rockets,102,Buffalo Braves,93,0,N
1970-10-17,1971,Philadelphia 76ers,123,Cincinnati Royals,105,0,N
1970-10-17,1971,Chicago Bulls,99,New York Knicks,96,0,N
1970-10-17,1971,Detroit Pistons,110,Phoenix Suns,107,0,N
1970-10-17,1971,Boston Celtics,114,Seattle SuperSonics,126,0,N
1970-10-17,1971,Cleveland Cavaliers,108,San Francisco Warriors,128,0,N
1970-10-18,1971,Boston Celtics,133,Portland Trail Blazers,115,0,N
1970-10-20,1971,Philadelphia 76ers,98,Buffalo Braves,89,0,N
1970-10-20,1971,Milwaukee Bucks,114,Detroit Pistons,115,0,N
1970-10-20,1971,Los Angeles Lakers,100,New York Knicks,115,0,N
1970-10-20,1971,Cleveland Cavaliers,98,Portland Trail Blazers,120,0,N
1970-10-20,1971,Phoenix Suns,114,San Diego Rockets,115,0,N
1970-10-20,1971,San Francisco Warriors,125,Baltimore Bullets,105,0,N
1970-10-21,1971,Baltimore Bullets,117,Cincinnati Royals,105,0,N
1970-10-21,1971,Phoenix Suns,106,Seattle SuperSonics,110,0,N
1970-10-21,1971,Los Angeles Lakers,141,Philadelphia 76ers,117,0,N
1970-10-21,1971,Detroit Pistons,121,Boston Celtics,118,0,N
1970-10-21,1971,San Francisco Warriors,100,Atlanta Hawks,102,0,N
1970-10-22,1971,Atlanta Hawks,101,Detroit Pistons,120,0,N
1970-10-22,1971,San Francisco Warriors,92,New York Knicks,95,0,N
1970-10-22,1971,Cleveland Cavaliers,110,San Diego Rockets,140,0,N
1970-10-23,1971,Portland Trail Blazers,111,Seattle SuperSonics,141,0,N
1970-10-23,1971,Cleveland Cavaliers,104,Phoenix Suns,108,0,N
1970-10-23,1971,Philadelphia 76ers,127,Los Angeles Lakers,122,0,N
1970-10-23,1971,New York Knicks,92,Baltimore Bullets,98,0,N
1970-10-23,1971,Cincinnati Royals,126,Boston Celtics,131,0,N
1970-10-24,1971,Boston Celtics,113,Atlanta Hawks,109,0,N
1970-10-24,1971,Detroit Pistons,114,Buffalo Braves,95,0,N
1970-10-24,1971,Baltimore Bullets,120,Milwaukee Bucks,122,2,N
1970-10-24,1971,Cincinnati Royals,103,New York Knicks,115,0,N
1970-10-24,1971,Philadelphia 76ers,111,San Diego Rockets,116,0,N
1970-10-24,1971,Portland Trail Blazers,115,San Francisco Warriors,118,0,N
1970-10-25,1971,San Diego Rockets,98,Phoenix Suns,117,0,N
1970-10-25,1971,Chicago Bulls,131,Portland Trail Blazers,116,0,N
1970-10-25,1971,Seattle SuperSonics,107,Milwaukee Bucks,126,0,N
1970-10-25,1971,Cleveland Cavaliers,96,Los Angeles Lakers,123,0,N
1970-10-26,1971,Atlanta Hawks,107,Cincinnati Royals,126,0,N
1970-10-26,1971,Seattle SuperSonics,111,Detroit Pistons,142,0,N
1970-10-27,1971,San Diego Rockets,113,Milwaukee Bucks,126,0,N
1970-10-27,1971,Seattle SuperSonics,104,New York Knicks,117,0,N
1970-10-27,1971,Buffalo Braves,108,Portland Trail Blazers,119,0,N
1970-10-28,1971,New York Knicks,126,Boston Celtics,89,0,N
1970-10-28,1971,Philadelphia 76ers,111,San Francisco Warriors,108,0,N
1970-10-28,1971,Chicago Bulls,118,Phoenix Suns,105,0,N
1970-10-28,1971,Seattle SuperSonics,118,Cincinnati Royals,131,0,N
1970-10-28,1971,Detroit Pistons,109,Baltimore Bullets,103,0,N
1970-10-28,1971,San Diego Rockets,110,Cleveland Cavaliers,99,0,N
1970-10-29,1971,San Diego Rockets,107,New York Knicks,114,0,N
1970-10-30,1971,Seattle SuperSonics,115,Portland Trail Blazers,104,0,N
1970-10-30,1971,Chicago Bulls,101,San Francisco Warriors,98,0,N
1970-10-30,1971,Baltimore Bullets,123,Philadelphia 76ers,110,0,N
1970-10-30,1971,Buffalo Braves,90,Los Angeles Lakers,104,0,N
1970-10-30,1971,Cincinnati Royals,125,Cleveland Cavaliers,110,0,N
1970-10-30,1971,Phoenix Suns,112,Boston Celtics,127,0,N
1970-10-31,1971,San Diego Rockets,121,Atlanta Hawks,117,0,N
1970-10-31,1971,Phoenix Suns,103,Baltimore Bullets,106,0,N
1970-10-31,1971,Milwaukee Bucks,121,Cincinnati Royals,100,0,N
1970-10-31,1971,Detroit Pistons,89,New York Knicks,107,0,N
1970-10-31,1971,Boston Celtics,133,Philadelphia 76ers,102,0,N
1970-10-31,1971,Buffalo Braves,102,Portland Trail Blazers,107,0,N
1970-10-31,1971,Chicago Bulls,119,Seattle SuperSonics,122,0,N
1970-11-01,1971,Atlanta Hawks,131,Cleveland Cavaliers,107,0,N
1970-11-02,1971,Cleveland Cavaliers,87,Philadelphia 76ers,141,0,N
1970-11-02,1971,Buffalo Braves,102,Phoenix Suns,110,0,N
1970-11-02,1971,New York Knicks,111,San Francisco Warriors,99,0,N
1970-11-03,1971,Seattle SuperSonics,101,Chicago Bulls,113,0,N
1970-11-03,1971,Cincinnati Royals,112,Detroit Pistons,115,0,N
1970-11-03,1971,Los Angeles Lakers,128,Portland Trail Blazers,108,0,N
1970-11-04,1971,Detroit Pistons,117,Atlanta Hawks,105,0,N
1970-11-04,1971,Philadelphia 76ers,113,Boston Celtics,115,0,N
1970-11-04,1971,Seattle SuperSonics,126,Buffalo Braves,101,0,N
1970-11-04,1971,Phoenix Suns,133,Cincinnati Royals,115,0,N
1970-11-04,1971,Milwaukee Bucks,110,Cleveland Cavaliers,108,0,N
1970-11-04,1971,New York Knicks,109,San Diego Rockets,100,0,N
1970-11-04,1971,Baltimore Bullets,100,San Francisco Warriors,111,0,N
1970-11-05,1971,Buffalo Braves,109,Detroit Pistons,121,0,N
1970-11-05,1971,Baltimore Bullets,131,Portland Trail Blazers,135,0,N
1970-11-06,1971,Seattle SuperSonics,94,Boston Celtics,116,0,N
1970-11-06,1971,Phoenix Suns,105,Chicago Bulls,102,0,N
1970-11-06,1971,New York Knicks,104,Los Angeles Lakers,106,0,N
1970-11-06,1971,Atlanta Hawks,112,Philadelphia 76ers,118,0,N
1970-11-06,1971,San Francisco Warriors,110,Portland Trail Blazers,103,0,N
1970-11-06,1971,Baltimore Bullets,125,San Diego Rockets,118,0,N
1970-11-07,1971,Phoenix Suns,107,Atlanta Hawks,100,0,N
1970-11-07,1971,Cleveland Cavaliers,91,Buffalo Braves,103,0,N
1970-11-07,1971,Detroit Pistons,99,Chicago Bulls,125,0,N
1970-11-07,1971,Boston Celtics,140,Cincinnati Royals,122,0,N
1970-11-07,1971,Seattle SuperSonics,128,Philadelphia 76ers,134,0,N
1970-11-07,1971,San Diego Rockets,102,San Francisco Warriors,114,0,N
1970-11-08,1971,Seattle SuperSonics,111,Cleveland Cavaliers,105,0,N
1970-11-08,1971,Baltimore Bullets,105,Los Angeles Lakers,124,0,N
1970-11-08,1971,Phoenix Suns,105,Milwaukee Bucks,125,0,N
1970-11-08,1971,New York Knicks,125,Portland Trail Blazers,113,0,N
1970-11-10,1971,Philadelphia 76ers,104,Atlanta Hawks,109,0,N
