DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1990-11-02,1991,Orlando Magic,111,Atlanta Hawks,115,0,N
1990-11-02,1991,Cleveland Cavaliers,101,Boston Celtics,125,0,N
1990-11-02,1991,New York Knicks,134,Charlotte Hornets,130,1,N
1990-11-02,1991,Philadelphia 76ers,124,Chicago Bulls,116,0,N
1990-11-02,1991,Golden State Warriors,162,Denver Nuggets,158,0,N
1990-11-02,1991,Milwaukee Bucks,104,Detroit Pistons,115,0,N
1990-11-02,1991,New Jersey Nets,81,Indiana Pacers,100,0,N
1990-11-02,1991,Sacramento Kings,80,Los Angeles Clippers,90,0,N
1990-11-02,1991,Washington Bullets,95,Miami Heat,119,0,N
1990-11-02,1991,Dallas Mavericks,85,Minnesota Timberwolves,98,0,N
1990-11-02,1991,Houston Rockets,89,Portland Trail Blazers,90,0,N
1990-11-02,1991,Phoenix Suns,119,Utah Jazz,96,0,N
1990-11-03,1991,Indiana Pacers,120,Atlanta Hawks,121,0,N
1990-11-03,1991,Denver Nuggets,110,Dallas Mavericks,140,0,N
1990-11-03,1991,Cleveland Cavaliers,97,Detroit Pistons,106,0,N
1990-11-03,1991,Minnesota Timberwolves,93,Milwaukee Bucks,111,0,N
1990-11-03,1991,Boston Celtics,106,New York Knicks,103,0,N
1990-11-03,1991,Charlotte Hornets,104,Orlando Magic,97,0,N
1990-11-03,1991,New Jersey Nets,110,Philadelphia 76ers,112,1,N
1990-11-03,1991,Utah Jazz,102,Phoenix Suns,101,0,N
1990-11-03,1991,Portland Trail Blazers,95,Sacramento Kings,93,1,N
1990-11-03,1991,Los Angeles Lakers,99,San Antonio Spurs,110,0,N
1990-11-03,1991,Houston Rockets,106,Seattle SuperSonics,118,0,N
1990-11-03,1991,Chicago Bulls,102,Washington Bullets,103,0,N
1990-11-04,1991,Golden State Warriors,107,Los Angeles Clippers,109,0,N
1990-11-06,1991,New Jersey Nets,105,Charlotte Hornets,113,0,N
1990-11-06,1991,Boston Celtics,110,Chicago Bulls,108,0,N
1990-11-06,1991,Los Angeles Clippers,109,Golden State Warriors,130,0,N
1990-11-06,1991,Denver Nuggets,135,Houston Rockets,145,0,N
1990-11-06,1991,Minnesota Timberwolves,96,Indiana Pacers,98,0,N
1990-11-06,1991,Portland Trail Blazers,125,Los Angeles Lakers,123,1,N
1990-11-06,1991,Milwaukee Bucks,106,Miami Heat,94,0,N
1990-11-06,1991,Dallas Mavericks,96,New York Knicks,91,0,N
1990-11-06,1991,Cleveland Cavaliers,102,Orlando Magic,95,0,N
1990-11-06,1991,Atlanta Hawks,102,Sacramento Kings,85,0,N
1990-11-06,1991,Detroit Pistons,92,Seattle SuperSonics,100,0,N
1990-11-07,1991,Charlotte Hornets,89,Cleveland Cavaliers,100,0,N
1990-11-07,1991,Detroit Pistons,110,Los Angeles Clippers,83,0,N
1990-11-07,1991,Chicago Bulls,96,Minnesota Timberwolves,91,0,N
1990-11-07,1991,Dallas Mavericks,104,Philadelphia 76ers,101,0,N
1990-11-07,1991,Golden State Warriors,119,Phoenix Suns,126,0,N
1990-11-07,1991,Denver Nuggets,153,San Antonio Spurs,161,0,N
1990-11-08,1991,Orlando Magic,99,Houston Rockets,103,0,N
1990-11-08,1991,Philadelphia 76ers,111,Milwaukee Bucks,141,0,N
1990-11-08,1991,Miami Heat,103,New Jersey Nets,114,0,N
