DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1956-10-27,1957,Boston Celtics,115,New York Knicks,112,0,N
1956-10-27,1957,Syracuse Nationals,109,Philadelphia Warriors,103,2,N
1956-10-27,1957,Fort Wayne Pistons,85,Rochester Royals,88,0,N
1956-10-27,1957,Minneapolis Lakers,75,St. Louis Hawks,97,0,N
1956-10-28,1957,Minneapolis Lakers,88,Fort Wayne Pistons,94,0,N
1956-10-28,1957,Rochester Royals,75,Syracuse Nationals,91,0,N
1956-11-01,1957,Rochester Royals,88,Minneapolis Lakers,97,0,N
1956-11-03,1957,New York Knicks,113,Boston Celtics,107,0,N
1956-11-03,1957,Syracuse Nationals,75,St. Louis Hawks,73,0,N
1956-11-03,1957,Fort Wayne Pistons,81,Philadelphia Warriors,116,0,N
1956-11-03,1957,Minneapolis Lakers,95,Rochester Royals,85,0,N
1956-11-04,1957,New York Knicks,96,Fort Wayne Pistons,83,0,N
1956-11-04,1957,Rochester Royals,87,Minneapolis Lakers,88,0,N
1956-11-04,1957,St. Louis Hawks,78,Syracuse Nationals,76,0,N
1956-11-07,1957,Philadelphia Warriors,80,Rochester Royals,81,0,N
1956-11-07,1957,New York Knicks,101,St. Louis Hawks,107,0,N
1956-11-09,1957,Rochester Royals,95,Philadelphia Warriors,93,0,N
1956-11-10,1957,Minneapolis Lakers,110,Boston Celtics,117,0,N
1956-11-10,1957,New York Knicks,81,Philadelphia Warriors,83,0,N
1956-11-10,1957,Syracuse Nationals,76,Rochester Royals,90,0,N
1956-11-10,1957,Fort Wayne Pistons,79,St. Louis Hawks,86,0,N
1956-11-11,1957,St. Louis Hawks,81,Fort Wayne Pistons,96,0,N
1956-11-11,1957,Boston Celtics,94,Syracuse Nationals,83,0,N
1956-11-11,1957,Philadelphia Warriors,95,New York Knicks,106,0,N
1956-11-11,1957,Rochester Royals,94,Minneapolis Lakers,82,0,N
1956-11-13,1957,Rochester Royals,105,St. Louis Hawks,118,0,N
1956-11-14,1957,Minneapolis Lakers,113,Boston Celtics,97,0,N
1956-11-14,1957,New York Knicks,87,Rochester Royals,90,0,N
1956-11-15,1957,Boston Celtics,95,Fort Wayne Pistons,98,0,N
1956-11-15,1957,Rochester Royals,83,Philadelphia Warriors,92,0,N
1956-11-15,1957,Minneapolis Lakers,103,Syracuse Nationals,96,0,N
1956-11-16,1957,Minneapolis Lakers,97,Philadelphia Warriors,123,0,N
1956-11-17,1957,Fort Wayne Pistons,87,St. Louis Hawks,92,0,N
1956-11-17,1957,Syracuse Nationals,96,Philadelphia Warriors,109,0,N
1956-11-17,1957,Rochester Royals,86,Boston Celtics,108,0,N
1956-11-18,1957,Fort Wayne Pistons,111,Minneapolis Lakers,107,0,N
1956-11-18,1957,St. Louis Hawks,69,New York Knicks,102,0,N
1956-11-18,1957,Boston Celtics,101,Rochester Royals,87,0,N
1956-11-18,1957,Philadelphia Warriors,97,Syracuse Nationals,99,0,N
1956-11-20,1957,Syracuse Nationals,81,St. Louis Hawks,104,0,N
1956-11-21,1957,Philadelphia Warriors,83,Boston Celtics,95,0,N
1956-11-21,1957,New York Knicks,103,Fort Wayne Pistons,104,1,N
1956-11-21,1957,St. Louis Hawks,76,Rochester Royals,85,0,N
1956-11-22,1957,Rochester Royals,102,Fort Wayne Pistons,104,1,N
1956-11-22,1957,Syracuse Nationals,78,Minneapolis Lakers,111,0,N
1956-11-22,1957,Boston Celtics,101,Philadelphia Warriors,78,0,N
1956-11-24,1957,Rochester Royals,96,New York Knicks,87,0,N
1956-11-24,1957,Minneapolis Lakers,104,St. Louis Hawks,102,1,N
1956-11-24,1957,Fort Wayne Pistons,88,Philadelphia Warriors,98,0,N
1956-11-24,1957,Syracuse Nationals,99,Boston Celtics,114,0,N
1956-11-25,1957,Philadelphia Warriors,88,Fort Wayne Pistons,112,0,N
1956-11-25,1957,St. Louis Hawks,95,Minneapolis Lakers,94,0,N
1956-11-25,1957,New York Knicks,93,Rochester Royals,95,0,N
1956-11-27,1957,Philadelphia Warriors,98,Minneapolis Lakers,113,0,N
1956-11-27,1957,Fort Wayne Pistons,98,New York Knicks,105,0,N
1956-11-27,1957,Syracuse Nationals,82,Rochester Royals,90,0,N
1956-11-27,1957,Boston Celtics,102,St. Louis Hawks,90,0,N
1956-11-28,1957,Minneapolis Lakers,93,Boston Celtics,105,0,N
1956-11-29,1957,Fort Wayne Pistons,92,Syracuse Nationals,87,0,N
1956-11-30,1957,Fort Wayne Pistons,102,Boston Celtics,104,0,N
1956-11-30,1957,New York Knicks,99,Philadelphia Warriors,110,0,N
1956-12-01,1957,Syracuse Nationals,100,New York Knicks,117,0,N
1956-12-01,1957,Fort Wayne Pistons,93,Boston Celtics,108,0,N
1956-12-01,1957,Philadelphia Warriors,107,St. Louis Hawks,95,0,N
1956-12-01,1957,Minneapolis Lakers,83,Rochester Royals,95,0,N
1956-12-02,1957,Philadelphia Warriors,96,Minneapolis Lakers,106,0,N
1956-12-02,1957,New York Knicks,100,Syracuse Nationals,110,0,N
1956-12-04,1957,St. Louis Hawks,107,Boston Celtics,108,0,N
