DATE,SEASON,VISITOR_TEAM,VISITOR_SCORE,HOME_TEAM,HOME_SCORE,OTS,PLAYOFF
1984-10-26,1985,Boston Celtics,130,Detroit Pistons,123,0,N
1984-10-26,1985,Washington Bullets,93,Chicago Bulls,109,0,N
1984-10-26,1985,Utah Jazz,94,Seattle SuperSonics,102,0,N
1984-10-26,1985,Cleveland Cavaliers,101,Philadelphia 76ers,111,0,N
1984-10-26,1985,Atlanta Hawks,119,New Jersey Nets,104,0,N
1984-10-26,1985,Phoenix Suns,122,Golden State Warriors,114,0,N
1984-10-27,1985,Philadelphia 76ers,111,Atlanta Hawks,108,0,N
1984-10-27,1985,New Jersey Nets,131,Cleveland Cavaliers,106,0,N
1984-10-27,1985,Houston Rockets,121,Dallas Mavericks,111,0,N
1984-10-27,1985,Golden State Warriors,121,Denver Nuggets,125,0,N
1984-10-27,1985,Washington Bullets,104,Indiana Pacers,102,0,N
1984-10-27,1985,Portland Trail Blazers,140,Kansas City Kings,119,0,N
1984-10-27,1985,Chicago Bulls,106,Milwaukee Bucks,108,0,N
1984-10-27,1985,Detroit Pistons,118,New York Knicks,137,0,N
1984-10-27,1985,Los Angeles Lakers,112,San Antonio Spurs,113,0,N
1984-10-27,1985,Los Angeles Clippers,103,Utah Jazz,94,0,N
1984-10-28,1985,Los Angeles Lakers,96,Dallas Mavericks,107,0,N
1984-10-28,1985,Phoenix Suns,102,Seattle SuperSonics,87,0,N
1984-10-29,1985,Milwaukee Bucks,110,Chicago Bulls,116,0,N
1984-10-30,1985,Cleveland Cavaliers,107,Detroit Pistons,124,0,N
1984-10-30,1985,Dallas Mavericks,84,Houston Rockets,106,0,N
1984-10-30,1985,Chicago Bulls,109,Kansas City Kings,104,0,N
1984-10-30,1985,Golden State Warriors,110,Los Angeles Lakers,144,0,N
1984-10-30,1985,Philadelphia 76ers,118,New Jersey Nets,96,0,N
1984-10-30,1985,Los Angeles Clippers,96,Phoenix Suns,99,0,N
1984-10-30,1985,Seattle SuperSonics,83,Portland Trail Blazers,115,0,N
1984-10-30,1985,Denver Nuggets,118,San Antonio Spurs,126,0,N
1984-10-30,1985,New York Knicks,111,Utah Jazz,117,0,N
1984-10-30,1985,Atlanta Hawks,104,Washington Bullets,119,0,N
1984-10-31,1985,New Jersey Nets,105,Boston Celtics,116,0,N
1984-10-31,1985,Dallas Mavericks,101,Indiana Pacers,100,0,N
1984-10-31,1985,Washington Bullets,79,Milwaukee Bucks,105,0,N
1984-11-01,1985,Detroit Pistons,118,Atlanta Hawks,114,0,N
1984-11-01,1985,Chicago Bulls,113,Denver Nuggets,129,0,N
1984-11-01,1985,San Antonio Spurs,123,Golden State Warriors,108,0,N
1984-11-01,1985,Houston Rockets,109,Kansas City Kings,106,0,N
1984-11-01,1985,New York Knicks,105,Los Angeles Clippers,107,0,N
1984-11-01,1985,Portland Trail Blazers,130,Phoenix Suns,139,3,N
1984-11-01,1985,Los Angeles Lakers,103,Seattle SuperSonics,105,0,N
1984-11-02,1985,Detroit Pistons,116,Boston Celtics,127,0,N
1984-11-02,1985,Indiana Pacers,116,Cleveland Cavaliers,109,0,N
1984-11-02,1985,San Antonio Spurs,100,Los Angeles Lakers,119,0,N
1984-11-02,1985,Dallas Mavericks,103,Philadelphia 76ers,107,0,N
1984-11-02,1985,Seattle SuperSonics,101,Utah Jazz,107,0,N
1984-11-02,1985,Milwaukee Bucks,102,Washington Bullets,96,0,N
1984-11-03,1985,Washington Bullets,107,Atlanta Hawks,127,0,N
1984-11-03,1985,Phoenix Suns,105,Dallas Mavericks,93,0,N
1984-11-03,1985,Utah Jazz,107,Golden State Warriors,112,0,N
1984-11-03,1985,New York Knicks,93,Houston Rockets,105,0,N
1984-11-03,1985,Denver Nuggets,128,Kansas City Kings,114,0,N
1984-11-03,1985,Portland Trail Blazers,131,Los Angeles Clippers,112,0,N
1984-11-03,1985,Cleveland Cavaliers,88,Milwaukee Bucks,117,0,N
1984-11-03,1985,Indiana Pacers,117,New Jersey Nets,118,0,N
1984-11-04,1985,Portland Trail Blazers,116,Los Angeles Lakers,124,0,N
1984-11-04,1985,New York Knicks,130,San Antonio Spurs,131,2,N
1984-11-05,1985,Detroit Pistons,107,Cleveland Cavaliers,98,0,N
1984-11-05,1985,Denver Nuggets,104,Los Angeles Clippers,107,0,N
1984-11-06,1985,New York Knicks,104,Dallas Mavericks,107,0,N
1984-11-06,1985,Kansas City Kings,94,Houston Rockets,108,0,N
1984-11-06,1985,Denver Nuggets,146,Los Angeles Lakers,130,0,N
1984-11-06,1985,Phoenix Suns,99,Portland Trail Blazers,116,0,N
1984-11-06,1985,Seattle SuperSonics,91,San Antonio Spurs,99,0,N
1984-11-07,1985,Los Angeles Clippers,108,Boston Celtics,135,0,N
1984-11-07,1985,Chicago Bulls,122,Detroit Pistons,118,0,N
1984-11-07,1985,Atlanta Hawks,99,Milwaukee Bucks,103,0,N
1984-11-07,1985,Washington Bullets,88,New Jersey Nets,99,0,N
1984-11-07,1985,Indiana Pacers,113,Philadelphia 76ers,134,0,N
1984-11-07,1985,San Antonio Spurs,124,Utah Jazz,136,0,N
1984-11-08,1985,Atlanta Hawks,105,Dallas Mavericks,112,1,N
1984-11-08,1985,Portland Trail Blazers,125,Denver Nuggets,128,0,N
1984-11-08,1985,Los Angeles Lakers,106,Golden State Warriors,122,0,N
1984-11-08,1985,Seattle SuperSonics,89,Houston Rockets,99,0,N
1984-11-08,1985,Chicago Bulls,121,New York Knicks,106,0,N
1984-11-08,1985,Cleveland Cavaliers,111,Phoenix Suns,112,0,N
1984-11-08,1985,Los Angeles Clippers,88,Washington Bullets,93,0,N
1984-11-09,1985,Philadelphia 76ers,119,Boston Celtics,130,0,N
1984-11-09,1985,Indiana Pacers,105,Milwaukee Bucks,122,0,N
1984-11-09,1985,Kansas City Kings,101,New Jersey Nets,99,0,N
1984-11-09,1985,Los Angeles Lakers,130,Portland Trail Blazers,126,0,N
1984-11-09,1985,Golden State Warriors,117,Utah Jazz,125,1,N
1984-11-10,1985,Seattle SuperSonics,102,Dallas Mavericks,106,0,N
1984-11-10,1985,Utah Jazz,135,Denver Nuggets,147,0,N
1984-11-10,1985,Milwaukee Bucks,100,Detroit Pistons,104,0,N
1984-11-10,1985,Los Angeles Clippers,92,Houston Rockets,117,0,N
1984-11-10,1985,Chicago Bulls,118,Indiana Pacers,116,0,N
1984-11-10,1985,Kansas City Kings,100,New York Knicks,113,0,N
1984-11-10,1985,Atlanta Hawks,114,Phoenix Suns,107,0,N
1984-11-10,1985,Cleveland Cavaliers,103,San Antonio Spurs,127,0,N
1984-11-10,1985,Boston Celtics,95,Washington Bullets,112,0,N
1984-11-11,1985,New Jersey Nets,111,Los Angeles Lakers,121,0,N
1984-11-11,1985,Golden State Warriors,97,Portland Trail Blazers,109,0,N
1984-11-12,1985,Boston Celtics,132,Indiana Pacers,115,0,N
